,Position,Fa13.BD.MLB.SN.sorted.MAG8-A,Fa13.BD.MLB.SN.sorted.MAG8-C,Fa13.BD.MLB.SN.sorted.MAG8-G,Fa13.BD.MLB.SN.sorted.MAG8-T,Fa13.BD.MLB.DN.sorted.MAG8-A,Fa13.BD.MLB.DN.sorted.MAG8-C,Fa13.BD.MLB.DN.sorted.MAG8-G,Fa13.BD.MLB.DN.sorted.MAG8-T,Sp13.BD.MLB.SN.sorted.MAG8-A,Sp13.BD.MLB.SN.sorted.MAG8-C,Sp13.BD.MLB.SN.sorted.MAG8-G,Sp13.BD.MLB.SN.sorted.MAG8-T,Su13.BD.MM110.DCMD.sorted.MAG8-A,Su13.BD.MM110.DCMD.sorted.MAG8-C,Su13.BD.MM110.DCMD.sorted.MAG8-G,Su13.BD.MM110.DCMD.sorted.MAG8-T,Sp13.BD.MM110.SN.sorted.MAG8-A,Sp13.BD.MM110.SN.sorted.MAG8-C,Sp13.BD.MM110.SN.sorted.MAG8-G,Sp13.BD.MM110.SN.sorted.MAG8-T,Su13.BD.MLB.SD.C.sorted.MAG8-A,Su13.BD.MLB.SD.C.sorted.MAG8-C,Su13.BD.MLB.SD.C.sorted.MAG8-G,Su13.BD.MLB.SD.C.sorted.MAG8-T,Sp13.BD.MM15.SN.sorted.MAG8-A,Sp13.BD.MM15.SN.sorted.MAG8-C,Sp13.BD.MM15.SN.sorted.MAG8-G,Sp13.BD.MM15.SN.sorted.MAG8-T,Su13.BD.MLB.DD.sorted.MAG8-A,Su13.BD.MLB.DD.sorted.MAG8-C,Su13.BD.MLB.DD.sorted.MAG8-G,Su13.BD.MLB.DD.sorted.MAG8-T,Su13.BD.MM110.SN.C.sorted.MAG8-A,Su13.BD.MM110.SN.C.sorted.MAG8-C,Su13.BD.MM110.SN.C.sorted.MAG8-G,Su13.BD.MM110.SN.C.sorted.MAG8-T,Su13.BD.MM15.SN.C.sorted.MAG8-A,Su13.BD.MM15.SN.C.sorted.MAG8-C,Su13.BD.MM15.SN.C.sorted.MAG8-G,Su13.BD.MM15.SN.C.sorted.MAG8-T,Sp13.BD.MM15.SD.sorted.MAG8-A,Sp13.BD.MM15.SD.sorted.MAG8-C,Sp13.BD.MM15.SD.sorted.MAG8-G,Sp13.BD.MM15.SD.sorted.MAG8-T,Su13.BD.MM110.DN.sorted.MAG8-A,Su13.BD.MM110.DN.sorted.MAG8-C,Su13.BD.MM110.DN.sorted.MAG8-G,Su13.BD.MM110.DN.sorted.MAG8-T,Su13.BD.MM110.SD.sorted.MAG8-A,Su13.BD.MM110.SD.sorted.MAG8-C,Su13.BD.MM110.SD.sorted.MAG8-G,Su13.BD.MM110.SD.sorted.MAG8-T,Sp13.BD.MM110.SD.sorted.MAG8-A,Sp13.BD.MM110.SD.sorted.MAG8-C,Sp13.BD.MM110.SD.sorted.MAG8-G,Sp13.BD.MM110.SD.sorted.MAG8-T,Fa13.BD.MM15.DN.sorted.MAG8-A,Fa13.BD.MM15.DN.sorted.MAG8-C,Fa13.BD.MM15.DN.sorted.MAG8-G,Fa13.BD.MM15.DN.sorted.MAG8-T,Fa13.BD.MM15.SN.sorted.MAG8-A,Fa13.BD.MM15.SN.sorted.MAG8-C,Fa13.BD.MM15.SN.sorted.MAG8-G,Fa13.BD.MM15.SN.sorted.MAG8-T,Fa13.BD.MM110.DN.sorted.MAG8-A,Fa13.BD.MM110.DN.sorted.MAG8-C,Fa13.BD.MM110.DN.sorted.MAG8-G,Fa13.BD.MM110.DN.sorted.MAG8-T,Sp13.BD.MM15.DD.A.sorted.MAG8-A,Sp13.BD.MM15.DD.A.sorted.MAG8-C,Sp13.BD.MM15.DD.A.sorted.MAG8-G,Sp13.BD.MM15.DD.A.sorted.MAG8-T,Su13.BD.MM15.SD.sorted.MAG8-A,Su13.BD.MM15.SD.sorted.MAG8-C,Su13.BD.MM15.SD.sorted.MAG8-G,Su13.BD.MM15.SD.sorted.MAG8-T,Fa13.BD.MM110.SN.sorted.MAG8-A,Fa13.BD.MM110.SN.sorted.MAG8-C,Fa13.BD.MM110.SN.sorted.MAG8-G,Fa13.BD.MM110.SN.sorted.MAG8-T,Sp13.BD.MM110.DD.sorted.MAG8-A,Sp13.BD.MM110.DD.sorted.MAG8-C,Sp13.BD.MM110.DD.sorted.MAG8-G,Sp13.BD.MM110.DD.sorted.MAG8-T,Fa13.BD.MM15.SD.sorted.MAG8-A,Fa13.BD.MM15.SD.sorted.MAG8-C,Fa13.BD.MM15.SD.sorted.MAG8-G,Fa13.BD.MM15.SD.sorted.MAG8-T,Fa13.BD.MM110.SD.sorted.MAG8-A,Fa13.BD.MM110.SD.sorted.MAG8-C,Fa13.BD.MM110.SD.sorted.MAG8-G,Fa13.BD.MM110.SD.sorted.MAG8-T,Su13.BD.MM15.DN.sorted.MAG8-A,Su13.BD.MM15.DN.sorted.MAG8-C,Su13.BD.MM15.DN.sorted.MAG8-G,Su13.BD.MM15.DN.sorted.MAG8-T
contig_20881_1,6,1,0,119,0,0,0,51,0,1,0,53,0,0,0,19,0,0,0,182,0,1,0,58,0,0,0,95,0,1,0,40,0,2,0,127,0,1,0,194,0,2,0,108,0,0,0,1,0,0,0,131,0,1,0,287,0,0,0,130,0,0,0,151,0,1,0,106,0,0,0,63,0,2,0,111,0,0,0,143,0,3,0,237,1,0,0,148,0,0,0,163,0,3,0,202,0
contig_20881_1,10,0,120,0,4,0,53,0,2,0,49,0,5,0,20,0,0,0,190,0,0,0,53,0,11,0,102,0,0,0,43,0,1,0,136,0,0,0,206,0,1,0,114,0,0,0,1,0,0,0,132,0,1,0,296,0,0,0,132,0,3,0,160,0,0,0,113,0,0,0,67,0,2,0,119,0,2,0,151,0,0,0,256,0,0,0,156,0,1,0,172,0,1,0,214,0,0
contig_20881_1,12,0,123,4,0,0,53,2,0,0,47,7,1,0,19,0,1,1,191,0,0,0,53,12,0,0,101,0,3,0,42,2,0,0,138,0,1,0,212,1,1,0,104,2,9,0,1,0,0,0,136,1,0,0,302,1,1,0,148,3,0,0,164,0,0,0,118,0,0,0,62,3,5,0,126,2,0,0,158,0,2,0,259,5,1,0,161,1,0,0,176,1,0,1,221,2,0
contig_20881_1,18,135,0,1,0,62,1,2,0,62,0,2,0,20,0,0,0,207,0,0,0,65,0,3,0,109,0,0,0,46,0,0,0,147,0,0,0,231,0,1,0,120,0,0,0,3,0,0,0,143,2,0,0,321,0,0,0,161,0,0,0,171,1,0,0,125,0,0,0,73,0,2,0,131,0,1,0,171,0,2,0,279,0,1,0,166,0,0,0,187,0,0,0,240,0,0,0
contig_20881_1,19,0,19,0,118,0,15,0,50,0,38,0,26,0,15,0,5,0,130,0,77,0,10,0,58,0,50,0,59,0,8,0,38,0,151,0,0,0,203,0,29,0,56,0,65,0,3,0,0,0,144,0,1,0,171,2,153,0,142,0,20,0,155,0,17,0,80,0,45,0,29,0,48,0,124,0,8,0,176,0,0,0,147,0,136,0,163,0,4,0,187,0,2,0,184,0,58
contig_20881_1,20,0,2,0,137,0,0,0,67,0,0,0,66,0,0,0,20,0,0,1,209,0,0,0,68,0,0,0,110,0,0,0,46,0,0,0,152,0,0,0,234,0,0,1,122,0,0,0,3,0,0,0,146,0,0,1,327,0,0,2,161,0,0,3,169,0,0,0,125,0,0,0,77,0,0,0,132,0,0,2,175,0,0,0,286,0,0,1,166,0,0,0,189,0,0,1,242
contig_20881_1,21,6,0,133,1,2,0,66,2,1,7,59,0,0,0,20,0,0,0,211,0,4,0,66,0,0,0,111,0,0,0,47,0,0,0,145,7,1,0,229,6,0,2,123,0,0,0,3,0,0,0,141,8,1,2,330,0,0,0,153,11,0,0,158,14,0,0,128,0,0,1,74,1,1,0,132,4,0,0,155,22,0,5,278,4,0,0,151,19,0,0,165,26,0,2,242,3
contig_20881_1,24,0,8,3,132,0,4,0,71,1,8,0,60,0,1,15,6,1,31,101,83,0,14,0,56,1,5,27,79,0,1,1,47,33,0,92,30,32,7,127,75,3,11,34,81,0,0,3,0,33,1,95,25,0,51,115,172,23,5,92,52,13,2,124,37,0,16,56,63,1,8,16,56,19,2,72,48,27,2,133,21,0,43,95,158,23,1,131,22,22,1,165,11,9,11,137,102
contig_20881_1,27,8,0,139,0,3,0,77,0,8,0,63,0,2,0,20,0,0,0,223,0,15,0,58,0,2,0,112,0,2,0,48,0,0,0,157,0,4,0,242,0,1,0,132,0,0,0,3,0,1,0,158,0,0,0,356,0,3,0,180,0,0,0,179,0,0,0,140,0,3,0,82,0,4,0,141,0,3,0,183,0,1,0,303,0,1,0,182,0,1,0,205,0,1,0,265,0
contig_20881_1,32,0,0,0,157,0,1,0,83,0,8,0,69,0,0,0,22,0,1,0,230,0,0,0,79,0,1,0,116,0,0,0,50,0,0,0,166,0,1,1,252,0,1,0,136,0,0,0,4,0,0,1,161,0,0,0,364,0,0,1,188,0,0,0,191,0,0,0,142,0,1,0,87,0,0,0,150,0,0,1,193,0,1,1,313,0,0,0,196,0,1,1,219,0,2,0,266
contig_20881_1,33,0,157,0,0,0,82,2,0,0,81,0,1,2,19,0,1,0,195,0,35,0,80,0,0,0,114,0,6,1,48,0,1,1,166,0,0,0,251,0,6,0,121,0,15,0,4,0,0,0,158,0,0,0,311,0,56,0,188,0,2,0,188,0,2,0,127,0,16,0,85,0,5,0,150,0,0,0,191,0,2,0,272,1,43,0,196,0,0,0,220,0,0,0,254,1,12
contig_20881_1,34,161,0,0,0,84,2,1,0,82,0,0,0,22,0,0,0,230,0,0,0,81,0,0,0,121,0,0,0,50,0,0,0,166,1,0,0,259,0,0,0,137,1,0,0,4,0,0,0,158,1,0,0,366,2,0,0,185,6,0,0,187,4,0,0,143,0,0,0,91,0,0,0,151,1,0,0,188,3,0,1,316,0,2,0,196,2,1,0,216,5,0,0,267,5,0,0
