,0,1,2,3
contig_18214_2,1.0,1.0,1.0,1.0
contig_18214_3,1.0,1.0,1.0,1.0
contig_18214_1,1.0,1.0,0.0,1.0
contig_18214_4,1.0,1.0,0.0,1.0
contig_18214_5,0.0,0.0,0.0,0.0
contig_18252_1,1.0,1.0,1.0,0.9
contig_18252_2,1.0,1.0,0.0,0.0
contig_18216_1,1.0,1.0,1.0,1.0
contig_18216_2,1.0,1.0,1.0,1.0
contig_18090_26,0.0,0.0,0.0,0.0
contig_18090_25,0.0,0.0,0.0,0.0
contig_18090_24,0.0,0.0,0.0,0.0
contig_18190_3,1.0,1.0,0.05,1.0
contig_18090_22,1.0,1.0,0.0,1.0
contig_18090_21,1.0,1.0,1.0,1.0
contig_18090_20,1.0,1.0,1.0,1.0
contig_18145_13,1.0,1.0,0.0,1.0
contig_18145_12,1.0,1.0,0.6,0.55
contig_18210_4,0.0,0.0,0.0,0.0
contig_18210_5,0.0,0.0,0.0,0.0
contig_18210_2,0.0,0.0,0.0,0.0
contig_18210_3,0.0,0.0,0.0,0.0
contig_18145_15,1.0,1.0,0.85,0.85
contig_18210_1,0.0,0.0,0.0,0.0
contig_18145_18,1.0,1.0,1.0,1.0
contig_18089_25,0.0,0.0,0.0,0.0
contig_18089_24,1.0,1.0,0.0,1.0
contig_18089_27,0.0,0.0,0.0,0.0
contig_18089_26,0.0,0.0,0.0,0.0
contig_18089_21,0.0,0.0,0.0,0.0
contig_18089_20,0.0,0.0,0.0,0.0
contig_18089_23,0.0,0.0,0.0,0.0
contig_18089_22,0.0,0.0,0.0,0.0
contig_18212_1,1.0,1.0,1.0,1.0
contig_18212_2,1.0,1.0,1.0,1.0
contig_18212_3,1.0,1.0,1.0,1.0
contig_18212_4,1.0,1.0,0.8,1.0
contig_18089_28,0.0,0.0,0.0,0.0
contig_18084_28,1.0,1.0,1.0,0.0
contig_18084_29,1.0,1.0,1.0,1.0
contig_18084_26,1.0,1.0,0.0,0.0
contig_18084_27,0.05,1.0,0.0,0.0
contig_18084_24,1.0,1.0,0.0,0.0
contig_18084_25,1.0,1.0,0.0,0.0
contig_18084_22,1.0,1.0,1.0,1.0
contig_18084_23,0.9,1.0,0.0,0.0
contig_18084_20,1.0,1.0,1.0,1.0
contig_18084_21,1.0,1.0,1.0,1.0
contig_18081_32,1.0,1.0,1.0,1.0
contig_18081_33,1.0,1.0,1.0,1.0
contig_18193_1,1.0,1.0,1.0,1.0
contig_18068_11,0.0,0.0,0.0,0.0
contig_18068_10,0.0,0.0,0.0,0.0
contig_18068_13,1.0,1.0,0.0,1.0
contig_18068_12,1.0,1.0,0.0,0.0
contig_18068_15,0.0,0.0,0.0,0.0
contig_18068_14,0.0,0.0,0.0,0.0
contig_18068_17,0.0,0.0,0.0,0.0
contig_18068_16,0.0,0.0,0.0,0.0
contig_18068_19,0.0,0.0,0.0,0.0
contig_18068_18,0.0,0.0,0.0,0.0
contig_18142_6,1.0,1.0,0.8,0.0
contig_18081_34,1.0,1.0,0.0,0.0
contig_18250_1,1.0,1.0,0.0,1.0
contig_18064_28,0.05,1.0,0.0,1.0
contig_18064_29,0.0,0.0,0.0,0.0
contig_18080_27,1.0,0.0,0.0,0.0
contig_18064_20,1.0,1.0,1.0,1.0
contig_18064_21,1.0,1.0,1.0,1.0
contig_18064_22,0.0,0.0,0.0,0.0
contig_18064_23,0.0,0.0,0.0,0.0
contig_18064_24,0.0,0.0,0.0,0.0
contig_18064_25,0.0,0.0,0.0,0.0
contig_18064_26,1.0,1.0,0.0,1.0
contig_18064_27,1.0,1.0,1.0,1.0
contig_18109_8,1.0,1.0,0.0,1.0
contig_18237_4,1.0,1.0,1.0,1.0
contig_18090_23,0.1,0.0,0.0,0.0
contig_18254_3,1.0,1.0,1.0,1.0
contig_18088_22,0.25,0.0,0.0,0.0
contig_18088_23,0.0,0.0,0.0,0.0
contig_18088_20,1.0,1.0,0.0,1.0
contig_18088_21,1.0,1.0,0.0,0.0
contig_18088_26,1.0,0.0,0.0,0.0
contig_18088_27,1.0,1.0,1.0,1.0
contig_18088_24,0.0,0.0,0.0,0.0
contig_18088_25,1.0,1.0,1.0,1.0
contig_18145_11,1.0,1.0,0.0,1.0
contig_18145_10,0.0,0.0,0.0,0.0
contig_18145_17,1.0,1.0,0.0,0.0
contig_18145_16,0.0,1.0,1.0,1.0
contig_18065_23,1.0,0.0,0.0,0.0
contig_18065_22,0.0,1.0,0.0,1.0
contig_18065_21,1.0,1.0,0.0,1.0
contig_18065_20,0.0,0.0,0.0,0.0
contig_18065_27,0.0,0.0,0.0,0.0
contig_18065_26,0.0,0.0,0.0,0.0
contig_18065_25,0.45,1.0,0.0,0.0
contig_18065_24,1.0,0.0,0.0,0.0
contig_18257_1,1.0,1.0,1.0,1.0
contig_18065_29,1.0,1.0,0.0,0.0
contig_18065_28,1.0,1.0,0.0,0.0
contig_18257_5,1.0,1.0,1.0,1.0
contig_18257_4,1.0,1.0,1.0,1.0
contig_18079_28,0.0,0.0,0.0,0.0
contig_18259_1,1.0,1.0,1.0,1.0
contig_18102_20,1.0,1.0,1.0,1.0
contig_18126_14,1.0,1.0,0.0,0.85
contig_18126_15,0.0,0.0,0.0,0.0
contig_18126_16,0.0,0.0,0.0,0.0
contig_18126_10,0.0,0.0,0.0,0.0
contig_18126_11,0.0,0.0,0.0,0.0
contig_18126_12,1.0,1.0,0.0,1.0
contig_18126_13,1.0,1.0,1.0,1.0
contig_18188_2,1.0,1.0,1.0,1.0
contig_18188_3,1.0,1.0,0.4,1.0
contig_18188_1,1.0,1.0,1.0,0.05
contig_18188_4,0.0,1.0,1.0,1.0
contig_18057_80,0.0,0.0,0.0,0.0
contig_18057_81,0.0,0.0,0.0,0.0
contig_18057_82,1.0,1.0,0.5,1.0
contig_18057_83,1.0,1.0,1.0,1.0
contig_18057_84,1.0,1.0,1.0,1.0
contig_18057_85,1.0,1.0,1.0,1.0
contig_18057_86,1.0,1.0,0.1,1.0
contig_18057_87,1.0,1.0,1.0,1.0
contig_18057_88,1.0,1.0,1.0,0.05
contig_18057_89,0.95,1.0,0.0,0.0
contig_18080_28,1.0,1.0,1.0,1.0
contig_18080_29,0.0,0.0,0.0,0.0
contig_18095_22,1.0,1.0,1.0,1.0
contig_18095_23,1.0,1.0,1.0,1.0
contig_18095_24,1.0,1.0,0.05,1.0
contig_18095_25,1.0,1.0,1.0,1.0
contig_18095_26,1.0,1.0,0.0,1.0
contig_18130_10,1.0,1.0,1.0,1.0
contig_18120_2,1.0,1.0,0.85,1.0
contig_18120_3,1.0,1.0,1.0,1.0
contig_18083_15,0.0,1.0,0.0,0.0
contig_18105_19,1.0,1.0,1.0,1.0
contig_18105_18,1.0,1.0,1.0,1.0
contig_18066_26,0.55,1.0,0.0,1.0
contig_18066_27,0.25,1.0,0.75,1.0
contig_18066_24,1.0,1.0,1.0,1.0
contig_18066_25,1.0,1.0,1.0,1.0
contig_18066_22,1.0,1.0,1.0,1.0
contig_18066_23,1.0,1.0,1.0,1.0
contig_18066_20,1.0,1.0,1.0,1.0
contig_18066_21,1.0,1.0,1.0,1.0
contig_18066_28,1.0,1.0,0.05,1.0
contig_18066_29,1.0,1.0,1.0,0.0
contig_18099_19,0.0,0.0,0.0,0.0
contig_18062_39,1.0,1.0,1.0,1.0
contig_18062_38,1.0,1.0,1.0,1.0
contig_18062_35,1.0,1.0,1.0,1.0
contig_18062_34,1.0,1.0,0.0,1.0
contig_18062_37,1.0,1.0,1.0,1.0
contig_18062_36,1.0,1.0,1.0,1.0
contig_18062_31,1.0,1.0,1.0,1.0
contig_18062_30,1.0,1.0,1.0,1.0
contig_18062_33,1.0,1.0,0.0,0.0
contig_18062_32,1.0,1.0,0.0,1.0
contig_18169_1,1.0,1.0,1.0,0.0
contig_18169_3,1.0,1.0,1.0,1.0
contig_18061_27,1.0,1.0,0.0,1.0
contig_18061_26,1.0,1.0,1.0,0.0
contig_18061_25,1.0,1.0,1.0,1.0
contig_18061_24,1.0,1.0,0.0,0.3
contig_18061_23,1.0,1.0,1.0,1.0
contig_18061_22,1.0,1.0,0.0,1.0
contig_18061_21,1.0,1.0,1.0,1.0
contig_18061_20,1.0,1.0,1.0,1.0
contig_18120_16,1.0,1.0,0.0,1.0
contig_18169_5,1.0,1.0,1.0,1.0
contig_18120_14,1.0,1.0,1.0,1.0
contig_18120_15,1.0,1.0,1.0,1.0
contig_18120_12,1.0,1.0,1.0,1.0
contig_18120_13,1.0,1.0,1.0,1.0
contig_18120_10,1.0,1.0,1.0,1.0
contig_18120_11,0.5,1.0,0.9,1.0
contig_18069_8,0.0,0.0,0.0,0.0
contig_18069_9,1.0,1.0,0.0,0.0
contig_18069_4,1.0,1.0,0.0,0.0
contig_18069_5,0.0,0.0,0.0,0.0
contig_18069_6,0.0,0.0,0.0,0.0
contig_18069_7,0.0,0.0,0.0,0.0
contig_18069_1,1.0,1.0,0.0,1.0
contig_18069_2,0.0,0.0,0.0,0.0
contig_18069_3,1.0,1.0,0.0,1.0
contig_18097_17,1.0,1.0,1.0,0.0
contig_18097_16,1.0,1.0,1.0,0.0
contig_18082_27,1.0,1.0,1.0,1.0
contig_18097_14,0.0,0.0,0.0,0.0
contig_18097_13,0.0,0.0,0.0,0.0
contig_18097_12,0.0,0.0,0.0,0.0
contig_18097_11,1.0,1.0,0.0,0.0
contig_18097_10,1.0,1.0,0.0,1.0
contig_18097_19,0.0,0.0,0.0,0.0
contig_18097_18,1.0,1.0,1.0,0.0
