,0,1,2,3,4,5
contig_19256_9,1.0,0.0,1.0,0.0,1.0,1.0
contig_19315_11,1.0,0.0,1.0,1.0,0.0,1.0
contig_19315_10,1.0,0.0,0.0,1.0,1.0,1.0
contig_19315_12,1.0,0.0,1.0,1.0,1.0,1.0
contig_19349_6,1.0,0.0,0.0,1.0,0.0,1.0
contig_19349_4,1.0,0.0,1.0,1.0,1.0,1.0
contig_19349_5,1.0,0.0,0.0,1.0,1.0,1.0
contig_19349_2,1.0,1.0,1.0,1.0,0.0,1.0
contig_19349_3,0.0,1.0,1.0,1.0,1.0,0.0
contig_19349_1,1.0,0.0,1.0,0.0,1.0,1.0
contig_19304_6,1.0,0.0,1.0,1.0,1.0,1.0
contig_19304_5,1.0,1.0,1.0,1.0,1.0,1.0
contig_19304_4,1.0,1.0,1.0,1.0,1.0,1.0
contig_19304_3,1.0,0.0,1.0,1.0,1.0,1.0
contig_19304_2,1.0,0.0,1.0,1.0,1.0,1.0
contig_19304_1,1.0,1.0,1.0,1.0,1.0,1.0
contig_19494_3,1.0,0.0,1.0,1.0,1.0,1.0
contig_19494_2,1.0,1.0,1.0,1.0,1.0,1.0
contig_19494_1,1.0,1.0,1.0,1.0,0.0,1.0
contig_19418_4,1.0,1.0,1.0,0.0,1.0,1.0
contig_19418_3,1.0,0.0,1.0,1.0,1.0,1.0
contig_19418_2,1.0,0.0,1.0,1.0,1.0,1.0
contig_19418_1,1.0,0.0,1.0,1.0,1.0,1.0
contig_19514_1,1.0,0.0,1.0,1.0,1.0,1.0
contig_19496_4,1.0,1.0,1.0,0.0,1.0,1.0
contig_19496_1,1.0,1.0,1.0,1.0,1.0,1.0
contig_19496_3,1.0,1.0,1.0,0.0,1.0,1.0
contig_19496_2,1.0,1.0,1.0,0.0,1.0,1.0
contig_19516_1,1.0,0.0,1.0,1.0,1.0,0.0
contig_19516_2,1.0,0.0,1.0,1.0,1.0,1.0
contig_19518_2,1.0,0.0,1.0,1.0,1.0,1.0
contig_19343_1,1.0,1.0,1.0,1.0,0.0,1.0
contig_19343_2,1.0,1.0,1.0,1.0,1.0,1.0
contig_19343_3,1.0,0.0,1.0,1.0,1.0,0.0
contig_19343_4,1.0,1.0,1.0,1.0,1.0,1.0
contig_19343_5,1.0,1.0,1.0,1.0,1.0,1.0
contig_19265_5,1.0,0.0,1.0,0.0,1.0,1.0
contig_19265_4,1.0,1.0,1.0,1.0,1.0,1.0
contig_19265_7,1.0,0.0,1.0,0.0,1.0,0.0
contig_19265_6,1.0,0.0,1.0,0.0,1.0,1.0
contig_19265_1,1.0,1.0,1.0,1.0,1.0,1.0
contig_19265_3,1.0,1.0,1.0,1.0,1.0,1.0
contig_19265_2,1.0,0.0,1.0,0.0,1.0,1.0
contig_19265_9,1.0,1.0,1.0,1.0,1.0,1.0
contig_19265_8,1.0,0.0,1.0,1.0,1.0,1.0
contig_19263_7,0.0,0.0,0.0,0.0,0.0,0.0
contig_19263_6,0.0,0.0,0.0,0.0,0.0,0.0
contig_19263_5,1.0,0.0,0.0,0.0,0.0,0.0
