,0,1,2,3
contig_18214_2,0.227619368743,3.32499691885,2.22044604925e-16,0.935034991033
contig_18214_3,0.0243281400313,3.38447112466,0.384064405982,1.118484691
contig_18214_1,2.22044604925e-16,2.24693747009,2.22044604925e-16,0.12904979207
contig_18214_4,2.22044604925e-16,0.847937021403,2.22044604925e-16,0.156323797752
contig_18214_5,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18252_1,2.22044604925e-16,2.18882381715,0.251596479748,2.22044604925e-16
contig_18252_2,2.22044604925e-16,1.34531780563,2.22044604925e-16,2.22044604925e-16
contig_18216_1,13.3118529251,3.4441366367,2.49302854515,2.22044604925e-16
contig_18216_2,2.22044604925e-16,1.75734784168,2.22044604925e-16,1.37347552458
contig_18090_26,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18090_25,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18090_24,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18190_3,2.22044604925e-16,2.41906171437,2.22044604925e-16,0.370621188643
contig_18090_22,2.22044604925e-16,1.84837712541,2.22044604925e-16,2.22044604925e-16
contig_18090_21,2.22044604925e-16,2.314748758,0.393078473341,2.22044604925e-16
contig_18090_20,0.00628687728696,3.43456026936,10.5851582646,1.74373941471
contig_18145_13,2.22044604925e-16,2.55288555076,2.22044604925e-16,0.356771748395
contig_18145_12,2.22044604925e-16,2.03789725169,2.22044604925e-16,2.32710386891e-13
contig_18210_4,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18210_5,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18210_2,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18210_3,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18145_15,2.22044604925e-16,2.35111496493,2.22044604925e-16,2.22044604925e-16
contig_18210_1,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18145_18,2.22044604925e-16,1.61131526929,2.22044604925e-16,1.66236860583
contig_18089_25,2.22044604925e-16,0.0145955160838,2.22044604925e-16,2.22044604925e-16
contig_18089_24,2.22044604925e-16,0.409163693391,2.22044604925e-16,0.542368651217
contig_18089_27,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18089_26,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18089_21,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18089_20,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18089_23,2.22044604925e-16,0.00418419314535,2.22044604925e-16,2.22044604925e-16
contig_18089_22,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18212_1,3.60163858546,3.99855674679,2.22044604925e-16,1.44567333636
contig_18212_2,0.0864737782036,3.26674611565,0.098490603174,2.84167796426
contig_18212_3,1.54546544844e-06,2.9615288517,1.59509099688,0.242528332668
contig_18212_4,1.3946246762e-08,3.52287094749,0.0520399270285,0.406159474108
contig_18089_28,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18084_28,2.22044604925e-16,1.66956545589,2.22044604925e-16,2.22044604925e-16
contig_18084_29,2.22044604925e-16,2.72904192742,2.46740350797,0.452697253832
contig_18084_26,2.22044604925e-16,2.51326880162,0.0631550754363,2.22044604925e-16
contig_18084_27,2.22044604925e-16,1.98261141965,2.22044604925e-16,2.22044604925e-16
contig_18084_24,2.22044604925e-16,2.73664620672,0.193785318922,2.22044604925e-16
contig_18084_25,2.22044604925e-16,1.96694548219,2.22044604925e-16,2.22044604925e-16
contig_18084_22,10.877019782,3.44080486692,0.00532014979412,1.63673108854
contig_18084_23,2.22044604925e-16,1.62806842621,2.22044604925e-16,2.22044604925e-16
contig_18084_20,0.583831854335,3.65870413304,2.22044604925e-16,4.29789600476
contig_18084_21,2.22044604925e-16,2.71016991195,7.51982859627e-13,1.62250106518
contig_18081_32,2.22044604925e-16,3.41651685596,1.16720675208,2.22044604925e-16
contig_18081_33,10.959999002,4.38608118128,2.22044604925e-16,2.94692772027
contig_18193_1,0.0487046725898,1.50136817594,0.418223585491,0.280675199777
contig_18068_11,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18068_10,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18068_13,2.22044604925e-16,2.57438394681,0.150177023511,2.22044604925e-16
contig_18068_12,2.22044604925e-16,0.115826017701,2.22044604925e-16,2.22044604925e-16
contig_18068_15,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18068_14,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18068_17,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18068_16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
contig_18068_19,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16
