,0,1,2,3,4,5
contig_19256_9,0.0,0.0,0.0,0.0,1.0,0.0
contig_19315_11,0.0,0.0,0.0,0.0,1.0,0.0
contig_19315_10,1.0,0.0,0.0,0.0,1.0,0.0
contig_19315_12,0.0,0.0,0.0,0.0,1.0,0.0
contig_19349_6,0.0,0.0,0.0,0.0,0.0,0.0
contig_19349_4,1.0,0.0,3.0,1.0,1.0,0.0
contig_19349_5,0.0,0.0,0.0,0.0,1.0,0.0
contig_19349_2,0.0,1.0,0.0,0.0,1.0,0.0
contig_19349_3,0.0,0.0,0.0,0.0,1.0,0.0
contig_19349_1,1.0,0.0,0.0,0.0,0.0,0.0
contig_19304_6,0.0,0.0,0.0,0.0,1.0,0.0
contig_19304_5,0.0,0.0,0.0,0.0,1.0,0.0
contig_19304_4,0.0,0.0,0.0,0.0,1.0,0.0
contig_19304_3,0.0,0.0,0.0,0.0,1.0,0.0
contig_19304_2,1.0,0.0,1.0,0.0,1.0,0.0
contig_19304_1,0.0,0.0,5.0,1.0,0.0,0.0
contig_19494_3,1.0,0.0,4.0,1.0,1.0,1.0
contig_19494_2,1.0,0.0,2.0,1.0,1.0,2.0
contig_19494_1,2.0,1.0,4.0,1.0,0.0,0.0
contig_19418_4,0.0,0.0,0.0,0.0,1.0,1.0
contig_19418_3,0.0,0.0,0.0,0.0,1.0,1.0
contig_19418_2,0.0,0.0,0.0,0.0,1.0,0.0
contig_19418_1,0.0,0.0,0.0,0.0,1.0,1.0
contig_19514_1,0.0,0.0,1.0,0.0,1.0,1.0
contig_19496_4,0.0,0.0,0.0,0.0,1.0,0.0
contig_19496_1,6.0,0.0,13.0,2.0,0.0,5.0
contig_19496_3,0.0,0.0,1.0,0.0,1.0,0.0
contig_19496_2,2.0,0.0,3.0,0.0,1.0,0.0
contig_19516_1,0.0,0.0,0.0,0.0,1.0,0.0
contig_19516_2,1.0,0.0,0.0,0.0,1.0,1.0
contig_19518_2,1.0,0.0,1.0,0.0,1.0,0.0
contig_19343_1,1.0,0.0,1.0,1.0,0.0,0.0
