,0,1,2,3,4,5,6
contig_21729_6,1.0,1.0,1.0,0.0,1.0,0.0,0.0
contig_22115_1,0.0,1.0,1.0,0.0,1.0,1.0,0.0
contig_22194_1,0.0,1.0,1.0,0.0,1.0,1.0,0.0
contig_22115_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contig_22115_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contig_21621_10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
contig_21621_11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contig_21621_12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contig_21621_13,1.0,1.0,1.0,0.0,1.0,1.0,0.0
contig_21961_2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
contig_22194_2,1.0,1.0,1.0,0.0,1.0,1.0,0.0
contig_21629_10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contig_22194_3,1.0,1.0,1.0,0.0,1.0,1.0,1.0
contig_21629_11,1.0,1.0,1.0,1.0,1.0,0.0,0.0
contig_21614_8,1.0,1.0,1.0,0.0,1.0,1.0,0.0
contig_21665_8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
contig_22190_1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
contig_22190_2,1.0,1.0,0.0,1.0,1.0,1.0,1.0
contig_21614_9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contig_21721_7,0.0,1.0,0.0,1.0,1.0,1.0,0.0
contig_21721_6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
contig_21721_5,1.0,1.0,0.0,1.0,1.0,1.0,0.0
contig_21721_4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
contig_21721_3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
contig_21721_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contig_21721_1,0.0,1.0,1.0,0.0,1.0,1.0,0.0
contig_21816_1,1.0,1.0,1.0,0.0,1.0,0.0,1.0
contig_21723_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contig_21814_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contig_21723_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contig_21723_2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
contig_21723_5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
contig_21723_4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
contig_21723_7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contig_21723_6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contig_21672_7,1.0,1.0,1.0,1.0,1.0,0.0,0.0
contig_21672_4,1.0,1.0,0.0,0.0,1.0,0.0,0.0
contig_21736_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contig_21614_4,1.0,1.0,0.0,0.0,1.0,1.0,0.0
contig_21736_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contig_21672_3,1.0,1.0,1.0,0.0,1.0,1.0,1.0
contig_21648_11,0.0,1.0,1.0,1.0,1.0,1.0,0.0
contig_21648_10,1.0,1.0,1.0,1.0,1.0,0.0,1.0
contig_21648_12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
contig_21610_9,1.0,1.0,0.0,0.0,1.0,1.0,0.0
contig_21789_3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
contig_21789_2,0.0,1.0,1.0,1.0,1.0,1.0,0.0
