,Position,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
contig_19336_2,1,0.876,0.044,0.036,0.044,0.04,0.96,0.0,0.0,0.988,0.004,0.004,0.004,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.672,0.18,0.076,0.072
contig_19336_2,72,0.832,0.012,0.016,0.14,0.912,0.004,0.012,0.072,0.008,0.0,0.004,0.988,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36,0.08,0.068,0.492
contig_19336_2,108,0.004,0.008,0.0,0.988,0.0,1.0,0.0,0.0,0.004,0.016,0.0,0.98,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.124,0.488,0.088,0.3
contig_19336_2,111,0.008,0.0,0.98,0.012,0.988,0.008,0.004,0.0,0.028,0.004,0.956,0.012,0.996,0.0,0.004,0.0,1.0,0.0,0.0,0.0,0.444,0.108,0.336,0.112
contig_19336_2,112,0.012,0.964,0.004,0.02,0.004,0.008,0.0,0.988,0.008,0.928,0.008,0.056,0.0,0.088,0.0,0.912,0.0,0.0,0.0,1.0,0.1,0.352,0.104,0.444
contig_19336_2,126,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.088,0.684,0.048,0.18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.024,0.848,0.056,0.072
contig_19336_2,129,0.852,0.036,0.048,0.064,0.0,0.0,1.0,0.0,0.868,0.06,0.048,0.024,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.304,0.044,0.604,0.048
contig_19336_2,133,0.048,0.872,0.052,0.028,1.0,0.0,0.0,0.0,0.056,0.88,0.044,0.02,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.512,0.364,0.044,0.08
contig_19336_2,136,0.024,0.052,0.872,0.052,0.0,1.0,0.0,0.0,0.028,0.064,0.872,0.036,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.084,0.536,0.324,0.056
contig_19336_2,141,0.768,0.028,0.184,0.02,0.0,0.0,1.0,0.0,0.892,0.024,0.064,0.02,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.584,0.032,0.364,0.02
contig_19336_2,163,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.392,0.0,0.608
contig_19336_2,169,0.004,0.476,0.0,0.52,0.0,0.028,0.0,0.972,0.0,0.996,0.0,0.004,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004,0.908,0.012,0.076
contig_19336_2,170,0.004,0.008,0.78,0.208,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.036,0.04,0.804,0.12
contig_19336_2,183,0.016,0.048,0.036,0.9,0.0,0.012,0.004,0.984,0.0,0.032,0.0,0.968,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.996,0.0,0.004
contig_19336_2,186,0.008,0.012,0.004,0.976,0.008,0.032,0.0,0.96,0.0,0.868,0.0,0.132,0.0,0.068,0.0,0.932,0.0,0.0,0.0,1.0,0.04,0.34,0.036,0.584
contig_19336_2,189,0.0,0.028,0.012,0.96,0.008,0.064,0.008,0.92,0.0,0.688,0.0,0.312,0.0,0.136,0.0,0.864,0.0,0.0,0.0,1.0,0.016,0.776,0.004,0.204
contig_19336_2,201,0.0,0.0,0.0,1.0,0.016,0.06,0.016,0.908,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.044,0.392,0.068,0.496
contig_19336_2,216,0.0,0.0,1.0,0.0,0.044,0.004,0.948,0.004,0.884,0.0,0.116,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.28,0.032,0.64,0.048
contig_19336_2,219,0.0,1.0,0.0,0.0,0.004,0.992,0.0,0.004,0.0,0.064,0.0,0.936,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.044,0.72,0.04,0.196
contig_19336_2,220,0.0,0.0,1.0,0.0,0.0,0.032,0.944,0.024,0.0,0.0,0.004,0.996,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.044,0.052,0.812,0.092
contig_19336_2,222,1.0,0.0,0.0,0.0,0.02,0.028,0.008,0.944,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.328,0.216,0.068,0.388
contig_19336_2,228,0.012,0.008,0.004,0.976,0.04,0.172,0.028,0.76,0.0,0.944,0.0,0.056,0.0,0.048,0.0,0.952,0.0,0.0,0.0,1.0,0.052,0.408,0.092,0.448
contig_19336_2,264,0.964,0.0,0.036,0.0,0.004,0.008,0.984,0.004,0.024,0.0,0.976,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.18,0.056,0.68,0.084
contig_19439_3,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.98,0.012,0.0,0.008
contig_19439_3,24,0.0,0.092,0.0,0.908,0.0,0.384,0.0,0.616,0.008,0.2,0.008,0.784,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.008,0.616,0.008,0.368
contig_19439_3,36,0.0,1.0,0.0,0.0,0.0,0.04,0.0,0.96,0.012,0.26,0.0,0.728,0.0,0.976,0.0,0.024,0.0,0.0,0.0,1.0,0.012,0.692,0.012,0.284
contig_19439_3,48,0.0,1.0,0.0,0.0,0.0,0.828,0.0,0.172,0.004,0.844,0.004,0.148,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.036,0.496,0.028,0.44
contig_19439_3,53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.004,0.004,0.06,0.932,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.244,0.012,0.168,0.576
contig_19439_3,60,0.0,0.004,0.0,0.996,0.0,0.992,0.0,0.008,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.016,0.464,0.008,0.512
contig_19439_3,61,1.0,0.0,0.0,0.0,0.032,0.0,0.968,0.0,0.016,0.012,0.972,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,0.004,0.184,0.012
contig_19439_3,66,1.0,0.0,0.0,0.0,0.12,0.0,0.88,0.0,0.928,0.0,0.072,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.724,0.004,0.268,0.004
contig_19439_3,69,0.0,0.996,0.004,0.0,0.064,0.936,0.0,0.0,0.928,0.048,0.024,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.656,0.164,0.172,0.008
contig_19439_3,70,0.0,0.0,1.0,0.0,0.0,0.0,0.036,0.964,0.0,0.0,0.004,0.996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.008,0.608,0.384
contig_19439_3,75,0.508,0.0,0.492,0.0,0.0,0.0,1.0,0.0,0.032,0.0,0.968,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.544,0.004,0.452,0.0
contig_19439_3,87,0.0,0.256,0.744,0.0,0.0,0.0,1.0,0.0,0.0,0.012,0.988,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.78,0.088,0.132
contig_19439_3,94,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_19439_3,96,0.936,0.0,0.064,0.0,1.0,0.0,0.0,0.0,0.98,0.0,0.02,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.004,0.0,0.996,0.0
contig_19439_3,97,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.736,0.264,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.264,0.736
contig_19439_3,98,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
contig_19439_3,99,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.408,0.592,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.34,0.4,0.26
contig_19439_3,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.996,0.004,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_19439_3,108,0.764,0.0,0.236,0.0,0.092,0.0,0.908,0.0,0.636,0.004,0.36,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.52,0.0,0.476,0.004
contig_19439_3,111,1.0,0.0,0.0,0.0,0.06,0.94,0.0,0.0,0.0,0.004,0.0,0.996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_19439_3,112,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.024,0.0,0.976,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_19439_3,121,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_19439_3,129,0.0,1.0,0.0,0.0,0.0,0.852,0.0,0.148,0.0,0.632,0.0,0.368,0.0,0.16,0.0,0.84,0.0,0.0,0.0,1.0,0.0,0.216,0.0,0.784
