,1,3,4
Fa13.BD.MLB.DN.MAG5,0.0266095208434,0.135610464008,0.511937527817
Fa13.BD.MLB.SN.MAG5,0.0271544274102,0.162463016288,0.49673489047
Sp13.BD.MM15.SD.MAG5,0.0291395070017,0.21546013998,0.518517582836
Su13.BD.MM15.SN.C.MAG5,0.198698243268,0.212793610665,0.445765802409
Fa13.BD.MM15.DN.MAG5,0.251755734491,0.175325394787,0.526022754213
Fa13.BD.MM110.SN.MAG5,0.766490345575,0.0396657409525,0.0571228518141
Su13.BD.MM110.SD.MAG5,0.641309985937,0.124448204945,0.125343071257
Su13.BD.MM110.SN.C.MAG5,0.643184610276,0.111713019393,0.104197994174
Su13.BD.MM15.DN.MAG5,0.0415880594771,0.231115342812,0.667892544581
Sp13.BD.MLB.SN.MAG5,0.061343284738,0.112771476642,0.299154005036
Sp13.BD.MM15.SN.MAG5,0.0264410482446,0.187572160693,0.490783669758
Fa13.BD.MM110.DN.MAG5,0.0147672856344,0.278031450727,0.449787440286
Fa13.BD.MM15.SN.MAG5,0.515375902089,0.116815274872,0.260147466334
Sp13.BD.MM110.SD.MAG5,0.0107082105805,0.260719725137,0.666427955746
Fa13.BD.MM15.SD.MAG5,0.643346619967,0.0788367865741,0.171295772816
Su13.BD.MLB.SD.C.MAG5,0.0630324078767,0.156721935192,0.358121238271
Sp13.BD.MM110.DD.MAG5,0.00533818954551,0.226323197449,0.682483302978
Su13.BD.MM110.DCMD.MAG5,0.259875608423,0.351527065169,0.244110930404
Sp13.BD.MM110.SN.MAG5,0.0168838323352,0.289780895938,0.638636282644
Su13.BD.MM15.SD.MAG5,0.328080954264,0.225856922893,0.338113127377
Sp13.BD.MM15.DD.A.MAG5,0.043886157089,0.178699016304,0.490646139304
Fa13.BD.MM110.SD.MAG5,0.721647264736,0.0368104842857,0.107071605149
Su13.BD.MLB.DD.MAG5,0.0963847785033,0.126196099486,0.411428181583
