-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                                                      Marker lineage          # genomes   # markers   # marker sets    0     1    2    3   4   5+   Completeness   Contamination   Strain heterogeneity  
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Chitinophaga_niabensis_2636416022                     p__Bacteroidetes (UID2591)       364         303           203         0    302   1    0   0   0       100.00           0.49               0.00          
  Limnohabitans_sp_Rim47_2684622883                    o__Burkholderiales (UID4000)      193         427           214         1    422   4    0   0   0       99.97            0.73              25.00          
  Limnohabitans_sp_63ED37-2_NZ.CP011774.1              o__Burkholderiales (UID4000)      193         427           214         1    424   1    1   0   0       99.97            0.53              25.00          
  Limnohabitans_sp_2KL-3_NZ.CXON00000000.1             o__Burkholderiales (UID4000)      193         427           214         2    423   2    0   0   0       99.94            0.50              50.00          
  Limnohabitans_sp_Rim28_NZ.ALKN00000000.1             o__Burkholderiales (UID4000)      193         427           214         2    423   2    0   0   0       99.94            0.93              50.00          
  Limnohabitans_sp_DM1_NZ.CXOO00000000.1               o__Burkholderiales (UID4000)      193         427           214         2    420   5    0   0   0       99.81            1.10              20.00          
  Limnohabitans_sp_2KL-27_NZ.CXOP00000000.1            o__Burkholderiales (UID4000)      193         427           214         2    423   2    0   0   0       99.81            0.50              50.00          
  Limnohabitans_sp_Rim11_CXOM00000000.1                o__Burkholderiales (UID4000)      193         427           214         2    421   4    0   0   0       99.38            1.17               0.00          
  Limnohabitans_planktonicus_II-D5_NZ.LFYT00000000.1   o__Burkholderiales (UID4000)      193         427           214         3    423   1    0   0   0       99.35            0.03               0.00          
  Limnohabitans_sp_103DPR2_NZ.CP011834.1               o__Burkholderiales (UID4000)      193         427           214         3    417   7    0   0   0       99.22            1.95               0.00          
  Polynucleobacter_sp_AP-Melu-1000-B4_2710724120       o__Burkholderiales (UID4001)      108         549           242         3    546   0    0   0   0       99.12            0.00               0.00          
  Polynucleobacter_sp_UB-Domo-W1_2710724123            o__Burkholderiales (UID4001)      108         549           242         6    541   2    0   0   0       98.96            0.52               0.00          
  Polynucleobacter_sp_QWL-P1DMWA-1_640427129           o__Burkholderiales (UID4001)      108         549           242         6    543   0    0   0   0       98.63            0.00               0.00          
  B21_Fa13.BD.MLB.SN_rebin4                            o__Burkholderiales (UID4000)      193         427           214         15   400   10   1   1   0       97.15            2.95              21.05          
  Polynucleobacter_sp_VK13_2708742530                  o__Burkholderiales (UID4001)      108         570           250         14   553   3    0   0   0       97.07            0.60               0.00          
  Polynucleobacter_necessarius_STIR1_2503982034        o__Burkholderiales (UID4001)      108         552           243         29   522   1    0   0   0       92.78            0.21               0.00          
  B28_Fa13.BD.MM110.DN_rebin2                          o__Burkholderiales (UID4000)      193         427           214         23   399   5    0   0   0       91.21            0.59              40.00          
  B22_Fa13.BD.MLB.SN_rebin5                            o__Burkholderiales (UID4000)      193         427           214         34   385   8    0   0   0       90.28            1.44              25.00          
  B72-73_Su13.BD.MM15.SN.C_rebin5-6_refined2           o__Burkholderiales (UID4000)      193         427           214         36   379   12   0   0   0       90.06            2.30              41.67          
  B4_Fa13.BD.MLB.DN_rebin2                             o__Burkholderiales (UID4000)      193         427           214         81   340   6    0   0   0       80.54            1.78              16.67          
  B72-73_Su13.BD.MM15.SN.C_rebin5-6_refined1           o__Burkholderiales (UID4000)      193         427           214         83   337   7    0   0   0       78.98            1.27              28.57          
  B63_Su13.BD.MM110.DCMD_rebin1                        o__Burkholderiales (UID4000)      193         427           214         85   335   7    0   0   0       78.65            0.92              28.57          
  B38_Sp13.BD.MM110.DD_rebin5                          o__Burkholderiales (UID4000)      193         427           214        104   311   7    5   0   0       66.89            2.34              63.64          
  B52_Sp13.BD.MM15.SD_rebin1                           o__Burkholderiales (UID4000)      193         427           214        136   288   3    0   0   0       61.40            0.18              33.33          
  B58_Su13.BD.MLB.SD.C_rebin3                          o__Burkholderiales (UID4000)      193         427           214        166   257   4    0   0   0       59.40            1.20              75.00          
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
