contig contig_geneID GC Genome
Ga0194090_1001 Ga0194090_10011 0.619 133660.assembled.gff
Ga0194090_1001 Ga0194090_10012 0.585 133660.assembled.gff
Ga0194090_1001 Ga0194090_10013 0.555 133660.assembled.gff
Ga0194090_1001 Ga0194090_10014 0.586 133660.assembled.gff
Ga0194090_1001 Ga0194090_10015 0.586 133660.assembled.gff
Ga0194090_1001 Ga0194090_10016 0.588 133660.assembled.gff
Ga0194090_1001 Ga0194090_10017 0.59 133660.assembled.gff
Ga0194090_1001 Ga0194090_10018 0.595 133660.assembled.gff
Ga0194090_1001 Ga0194090_10019 0.572 133660.assembled.gff
Ga0194090_1001 Ga0194090_100110 0.582 133660.assembled.gff
Ga0194090_1001 Ga0194090_100111 0.582 133660.assembled.gff
Ga0194090_1002 Ga0194090_10021 0.606 133660.assembled.gff
Ga0194090_1002 Ga0194090_10022 0.606 133660.assembled.gff
Ga0194090_1002 Ga0194090_10023 0.574 133660.assembled.gff
Ga0194090_1002 Ga0194090_10024 0.646 133660.assembled.gff
Ga0194090_1003 Ga0194090_10031 0.571 133660.assembled.gff
Ga0194090_1003 Ga0194090_10032 0.607 133660.assembled.gff
Ga0194090_1003 Ga0194090_10033 0.525 133660.assembled.gff
Ga0194090_1003 Ga0194090_10034 0.578 133660.assembled.gff
Ga0194090_1003 Ga0194090_10035 0.585 133660.assembled.gff
Ga0194090_1003 Ga0194090_10036 0.598 133660.assembled.gff
Ga0194090_1003 Ga0194090_10037 0.546 133660.assembled.gff
Ga0194090_1003 Ga0194090_10038 0.498 133660.assembled.gff
Ga0194090_1003 Ga0194090_10039 0.535 133660.assembled.gff
Ga0194090_1003 Ga0194090_100310 0.569 133660.assembled.gff
Ga0194090_1004 Ga0194090_10041 0.544 133660.assembled.gff
Ga0194090_1004 Ga0194090_10042 0.531 133660.assembled.gff
Ga0194090_1004 Ga0194090_10043 0.48 133660.assembled.gff
Ga0194090_1004 Ga0194090_10044 0.492 133660.assembled.gff
Ga0194090_1004 Ga0194090_10045 0.46 133660.assembled.gff
Ga0194090_1004 Ga0194090_10046 0.481 133660.assembled.gff
Ga0194090_1004 Ga0194090_10047 0.546 133660.assembled.gff
Ga0194090_1004 Ga0194090_10048 0.492 133660.assembled.gff
Ga0194090_1004 Ga0194090_10049 0.503 133660.assembled.gff
Ga0194090_1005 Ga0194090_10051 0.618 133660.assembled.gff
Ga0194090_1005 Ga0194090_10052 0.581 133660.assembled.gff
Ga0194090_1005 Ga0194090_10053 0.677 133660.assembled.gff
Ga0194090_1005 Ga0194090_10054 0.647 133660.assembled.gff
Ga0194090_1005 Ga0194090_10055 0.538 133660.assembled.gff
Ga0194090_1006 Ga0194090_10061 0.675 133660.assembled.gff
Ga0194090_1006 Ga0194090_10062 0.577 133660.assembled.gff
Ga0194090_1006 Ga0194090_10063 0.618 133660.assembled.gff
Ga0194090_1006 Ga0194090_10064 0.597 133660.assembled.gff
Ga0194090_1006 Ga0194090_10065 0.619 133660.assembled.gff
Ga0194090_1006 Ga0194090_10066 0.559 133660.assembled.gff
Ga0194090_1007 Ga0194090_10071 0.67 133660.assembled.gff
Ga0194090_1007 Ga0194090_10072 0.645 133660.assembled.gff
Ga0194090_1007 Ga0194090_10073 0.57 133660.assembled.gff
Ga0194090_1007 Ga0194090_10074 0.59 133660.assembled.gff
Ga0194090_1007 Ga0194090_10075 0.599 133660.assembled.gff
Ga0194090_1007 Ga0194090_10076 0.599 133660.assembled.gff
