contig contig_geneID GC Genome
Ga0194088_1001 Ga0194088_10011 0.583 133658.assembled.gff
Ga0194088_1001 Ga0194088_10012 0.582 133658.assembled.gff
Ga0194088_1001 Ga0194088_10013 0.56 133658.assembled.gff
Ga0194088_1001 Ga0194088_10014 0.518 133658.assembled.gff
Ga0194088_1001 Ga0194088_10015 0.548 133658.assembled.gff
Ga0194088_1001 Ga0194088_10016 0.567 133658.assembled.gff
Ga0194088_1002 Ga0194088_10021 0.57 133658.assembled.gff
Ga0194088_1002 Ga0194088_10022 0.582 133658.assembled.gff
Ga0194088_1002 Ga0194088_10023 0.614 133658.assembled.gff
Ga0194088_1003 Ga0194088_10031 0.561 133658.assembled.gff
Ga0194088_1003 Ga0194088_10032 0.557 133658.assembled.gff
Ga0194088_1004 Ga0194088_10041 0.594 133658.assembled.gff
Ga0194088_1004 Ga0194088_10042 0.57 133658.assembled.gff
Ga0194088_1004 Ga0194088_10043 0.551 133658.assembled.gff
Ga0194088_1004 Ga0194088_10044 0.553 133658.assembled.gff
Ga0194088_1004 Ga0194088_10045 0.497 133658.assembled.gff
Ga0194088_1004 Ga0194088_10046 0.538 133658.assembled.gff
Ga0194088_1005 Ga0194088_10051 0.62 133658.assembled.gff
Ga0194088_1005 Ga0194088_10052 0.591 133658.assembled.gff
Ga0194088_1005 Ga0194088_10053 0.623 133658.assembled.gff
Ga0194088_1005 Ga0194088_10054 0.611 133658.assembled.gff
Ga0194088_1005 Ga0194088_10055 0.575 133658.assembled.gff
Ga0194088_1006 Ga0194088_10061 0.57 133658.assembled.gff
Ga0194088_1006 Ga0194088_10062 0.612 133658.assembled.gff
Ga0194088_1007 Ga0194088_10071 0.583 133658.assembled.gff
Ga0194088_1007 Ga0194088_10072 0.575 133658.assembled.gff
Ga0194088_1007 Ga0194088_10073 0.618 133658.assembled.gff
Ga0194088_1008 Ga0194088_10081 0.576 133658.assembled.gff
Ga0194088_1008 Ga0194088_10082 0.562 133658.assembled.gff
Ga0194088_1008 Ga0194088_10083 0.585 133658.assembled.gff
Ga0194088_1008 Ga0194088_10084 0.637 133658.assembled.gff
Ga0194088_1008 Ga0194088_10085 0.605 133658.assembled.gff
Ga0194088_1008 Ga0194088_10086 0.543 133658.assembled.gff
Ga0194088_1008 Ga0194088_10087 0.582 133658.assembled.gff
Ga0194088_1009 Ga0194088_10091 0.608 133658.assembled.gff
Ga0194088_1009 Ga0194088_10092 0.628 133658.assembled.gff
Ga0194088_1009 Ga0194088_10093 0.572 133658.assembled.gff
Ga0194088_1009 Ga0194088_10094 0.563 133658.assembled.gff
Ga0194088_1009 Ga0194088_10095 0.612 133658.assembled.gff
Ga0194088_1010 Ga0194088_10101 0.595 133658.assembled.gff
Ga0194088_1011 Ga0194088_10111 0.552 133658.assembled.gff
Ga0194088_1011 Ga0194088_10112 0.592 133658.assembled.gff
Ga0194088_1011 Ga0194088_10113 0.565 133658.assembled.gff
Ga0194088_1011 Ga0194088_10114 0.581 133658.assembled.gff
Ga0194088_1012 Ga0194088_10121 0.633 133658.assembled.gff
Ga0194088_1012 Ga0194088_10122 0.62 133658.assembled.gff
Ga0194088_1012 Ga0194088_10123 0.62 133658.assembled.gff
Ga0194088_1012 Ga0194088_10124 0.581 133658.assembled.gff
Ga0194088_1012 Ga0194088_10125 0.603 133658.assembled.gff
Ga0194088_1012 Ga0194088_10126 0.588 133658.assembled.gff
Ga0194088_1012 Ga0194088_10127 0.603 133658.assembled.gff
Ga0194088_1013 Ga0194088_10131 0.569 133658.assembled.gff
Ga0194088_1013 Ga0194088_10132 0.637 133658.assembled.gff
