contig contig_geneID GC Genome
Ga0194079_1001 Ga0194079_10011 0.553 133649.assembled.gff
Ga0194079_1001 Ga0194079_10012 0.636 133649.assembled.gff
Ga0194079_1001 Ga0194079_10013 0.58 133649.assembled.gff
Ga0194079_1001 Ga0194079_10014 0.537 133649.assembled.gff
Ga0194079_1002 Ga0194079_10021 0.586 133649.assembled.gff
Ga0194079_1002 Ga0194079_10022 0.571 133649.assembled.gff
Ga0194079_1002 Ga0194079_10023 0.578 133649.assembled.gff
Ga0194079_1002 Ga0194079_10024 0.589 133649.assembled.gff
Ga0194079_1003 Ga0194079_10031 0.592 133649.assembled.gff
Ga0194079_1003 Ga0194079_10032 0.595 133649.assembled.gff
Ga0194079_1003 Ga0194079_10033 0.621 133649.assembled.gff
Ga0194079_1003 Ga0194079_10034 0.594 133649.assembled.gff
Ga0194079_1003 Ga0194079_10035 0.631 133649.assembled.gff
Ga0194079_1003 Ga0194079_10036 0.573 133649.assembled.gff
Ga0194079_1003 Ga0194079_10037 0.583 133649.assembled.gff
Ga0194079_1003 Ga0194079_10038 0.586 133649.assembled.gff
Ga0194079_1003 Ga0194079_10039 0.609 133649.assembled.gff
Ga0194079_1003 Ga0194079_100310 0.62 133649.assembled.gff
Ga0194079_1003 Ga0194079_100311 0.607 133649.assembled.gff
Ga0194079_1003 Ga0194079_100312 0.605 133649.assembled.gff
Ga0194079_1003 Ga0194079_100313 0.597 133649.assembled.gff
Ga0194079_1004 Ga0194079_10041 0.607 133649.assembled.gff
Ga0194079_1004 Ga0194079_10042 0.642 133649.assembled.gff
Ga0194079_1004 Ga0194079_10043 0.614 133649.assembled.gff
Ga0194079_1004 Ga0194079_10044 0.627 133649.assembled.gff
Ga0194079_1004 Ga0194079_10045 0.527 133649.assembled.gff
Ga0194079_1004 Ga0194079_10046 0.636 133649.assembled.gff
Ga0194079_1004 Ga0194079_10047 0.555 133649.assembled.gff
Ga0194079_1004 Ga0194079_10048 0.607 133649.assembled.gff
Ga0194079_1004 Ga0194079_10049 0.569 133649.assembled.gff
Ga0194079_1004 Ga0194079_100410 0.598 133649.assembled.gff
Ga0194079_1004 Ga0194079_100411 0.606 133649.assembled.gff
Ga0194079_1004 Ga0194079_100412 0.612 133649.assembled.gff
Ga0194079_1004 Ga0194079_100413 0.641 133649.assembled.gff
Ga0194079_1005 Ga0194079_10051 0.703 133649.assembled.gff
