contig contig_geneID GC Genome
Ga0192657_1001 Ga0192657_10011 0.545 133054.assembled.gff
Ga0192657_1001 Ga0192657_10012 0.431 133054.assembled.gff
Ga0192657_1001 Ga0192657_10013 0.534 133054.assembled.gff
Ga0192657_1001 Ga0192657_10014 0.539 133054.assembled.gff
Ga0192657_1001 Ga0192657_10015 0.549 133054.assembled.gff
Ga0192657_1001 Ga0192657_10016 0.54 133054.assembled.gff
Ga0192657_1001 Ga0192657_10017 0.536 133054.assembled.gff
Ga0192657_1001 Ga0192657_10018 0.569 133054.assembled.gff
Ga0192657_1001 Ga0192657_10019 0.491 133054.assembled.gff
Ga0192657_1001 Ga0192657_100110 0.455 133054.assembled.gff
Ga0192657_1001 Ga0192657_100111 0.448 133054.assembled.gff
Ga0192657_1002 Ga0192657_10021 0.574 133054.assembled.gff
Ga0192657_1002 Ga0192657_10022 0.503 133054.assembled.gff
Ga0192657_1002 Ga0192657_10023 0.556 133054.assembled.gff
Ga0192657_1002 Ga0192657_10024 0.54 133054.assembled.gff
Ga0192657_1002 Ga0192657_10025 0.543 133054.assembled.gff
Ga0192657_1002 Ga0192657_10026 0.512 133054.assembled.gff
Ga0192657_1002 Ga0192657_10027 0.536 133054.assembled.gff
Ga0192657_1002 Ga0192657_10028 0.591 133054.assembled.gff
Ga0192657_1002 Ga0192657_10029 0.548 133054.assembled.gff
Ga0192657_1002 Ga0192657_100210 0.551 133054.assembled.gff
Ga0192657_1002 Ga0192657_100211 0.451 133054.assembled.gff
Ga0192657_1002 Ga0192657_100212 0.44 133054.assembled.gff
Ga0192657_1002 Ga0192657_100213 0.563 133054.assembled.gff
Ga0192657_1002 Ga0192657_100214 0.545 133054.assembled.gff
Ga0192657_1002 Ga0192657_100215 0.537 133054.assembled.gff
Ga0192657_1002 Ga0192657_100216 0.596 133054.assembled.gff
Ga0192657_1002 Ga0192657_100217 0.614 133054.assembled.gff
Ga0192657_1002 Ga0192657_100218 0.58 133054.assembled.gff
Ga0192657_1002 Ga0192657_100219 0.557 133054.assembled.gff
Ga0192657_1002 Ga0192657_100220 0.43 133054.assembled.gff
Ga0192657_1002 Ga0192657_100221 0.567 133054.assembled.gff
Ga0192657_1002 Ga0192657_100223 0.566 133054.assembled.gff
Ga0192657_1002 Ga0192657_100225 0.573 133054.assembled.gff
Ga0192657_1003 Ga0192657_10031 0.432 133054.assembled.gff
Ga0192657_1003 Ga0192657_10032 0.583 133054.assembled.gff
Ga0192657_1003 Ga0192657_10033 0.579 133054.assembled.gff
Ga0192657_1003 Ga0192657_10034 0.572 133054.assembled.gff
Ga0192657_1003 Ga0192657_10035 0.611 133054.assembled.gff
Ga0192657_1003 Ga0192657_10036 0.568 133054.assembled.gff
Ga0192657_1003 Ga0192657_10037 0.593 133054.assembled.gff
Ga0192657_1003 Ga0192657_10038 0.536 133054.assembled.gff
Ga0192657_1003 Ga0192657_10039 0.535 133054.assembled.gff
Ga0192657_1003 Ga0192657_100310 0.555 133054.assembled.gff
Ga0192657_1003 Ga0192657_100311 0.53 133054.assembled.gff
Ga0192657_1003 Ga0192657_100312 0.591 133054.assembled.gff
Ga0192657_1003 Ga0192657_100313 0.572 133054.assembled.gff
Ga0192657_1003 Ga0192657_100314 0.473 133054.assembled.gff
Ga0192657_1004 Ga0192657_10041 0.593 133054.assembled.gff
Ga0192657_1004 Ga0192657_10042 0.469 133054.assembled.gff
Ga0192657_1004 Ga0192657_10043 0.49 133054.assembled.gff
Ga0192657_1004 Ga0192657_10044 0.547 133054.assembled.gff
Ga0192657_1004 Ga0192657_10045 0.58 133054.assembled.gff
Ga0192657_1004 Ga0192657_10046 0.605 133054.assembled.gff
Ga0192657_1004 Ga0192657_10047 0.57 133054.assembled.gff
Ga0192657_1004 Ga0192657_10048 0.54 133054.assembled.gff
Ga0192657_1004 Ga0192657_10049 0.526 133054.assembled.gff
Ga0192657_1004 Ga0192657_100410 0.487 133054.assembled.gff
Ga0192657_1004 Ga0192657_100411 0.573 133054.assembled.gff
Ga0192657_1004 Ga0192657_100413 0.589 133054.assembled.gff
Ga0192657_1004 Ga0192657_100414 0.547 133054.assembled.gff
Ga0192657_1004 Ga0192657_100415 0.585 133054.assembled.gff
Ga0192657_1004 Ga0192657_100416 0.525 133054.assembled.gff
Ga0192657_1004 Ga0192657_100417 0.543 133054.assembled.gff
Ga0192657_1004 Ga0192657_100418 0.564 133054.assembled.gff
Ga0192657_1004 Ga0192657_100419 0.597 133054.assembled.gff
Ga0192657_1004 Ga0192657_100420 0.606 133054.assembled.gff
Ga0192657_1004 Ga0192657_100421 0.582 133054.assembled.gff
Ga0192657_1004 Ga0192657_100422 0.553 133054.assembled.gff
Ga0192657_1004 Ga0192657_100423 0.6 133054.assembled.gff
Ga0192657_1004 Ga0192657_100424 0.483 133054.assembled.gff
Ga0192657_1004 Ga0192657_100426 0.481 133054.assembled.gff
Ga0192657_1004 Ga0192657_100427 0.536 133054.assembled.gff
Ga0192657_1004 Ga0192657_100428 0.441 133054.assembled.gff
Ga0192657_1004 Ga0192657_100429 0.406 133054.assembled.gff
Ga0192657_1004 Ga0192657_100430 0.455 133054.assembled.gff
Ga0192657_1004 Ga0192657_100431 0.59 133054.assembled.gff
Ga0192657_1004 Ga0192657_100432 0.505 133054.assembled.gff
Ga0192657_1004 Ga0192657_100433 0.568 133054.assembled.gff
Ga0192657_1004 Ga0192657_100434 0.56 133054.assembled.gff
Ga0192657_1004 Ga0192657_100435 0.528 133054.assembled.gff
Ga0192657_1004 Ga0192657_100436 0.537 133054.assembled.gff
Ga0192657_1004 Ga0192657_100437 0.525 133054.assembled.gff
Ga0192657_1004 Ga0192657_100438 0.551 133054.assembled.gff
Ga0192657_1004 Ga0192657_100439 0.545 133054.assembled.gff
Ga0192657_1004 Ga0192657_100440 0.492 133054.assembled.gff
Ga0192657_1004 Ga0192657_100441 0.54 133054.assembled.gff
Ga0192657_1004 Ga0192657_100442 0.52 133054.assembled.gff
Ga0192657_1004 Ga0192657_100443 0.537 133054.assembled.gff
Ga0192657_1004 Ga0192657_100444 0.593 133054.assembled.gff
Ga0192657_1004 Ga0192657_100445 0.547 133054.assembled.gff
Ga0192657_1004 Ga0192657_100446 0.539 133054.assembled.gff
Ga0192657_1004 Ga0192657_100447 0.545 133054.assembled.gff
Ga0192657_1004 Ga0192657_100448 0.564 133054.assembled.gff
Ga0192657_1004 Ga0192657_100449 0.55 133054.assembled.gff
Ga0192657_1004 Ga0192657_100450 0.577 133054.assembled.gff
Ga0192657_1004 Ga0192657_100451 0.574 133054.assembled.gff
Ga0192657_1004 Ga0192657_100452 0.503 133054.assembled.gff
Ga0192657_1004 Ga0192657_100453 0.516 133054.assembled.gff
Ga0192657_1004 Ga0192657_100454 0.482 133054.assembled.gff
Ga0192657_1004 Ga0192657_100455 0.523 133054.assembled.gff
Ga0192657_1004 Ga0192657_100456 0.533 133054.assembled.gff
Ga0192657_1004 Ga0192657_100457 0.548 133054.assembled.gff
Ga0192657_1004 Ga0192657_100458 0.548 133054.assembled.gff
Ga0192657_1004 Ga0192657_100459 0.529 133054.assembled.gff
Ga0192657_1004 Ga0192657_100460 0.546 133054.assembled.gff
Ga0192657_1004 Ga0192657_100461 0.6 133054.assembled.gff
Ga0192657_1004 Ga0192657_100462 0.561 133054.assembled.gff
Ga0192657_1004 Ga0192657_100463 0.545 133054.assembled.gff
Ga0192657_1004 Ga0192657_100464 0.571 133054.assembled.gff
Ga0192657_1004 Ga0192657_100465 0.53 133054.assembled.gff
Ga0192657_1004 Ga0192657_100467 0.504 133054.assembled.gff
Ga0192657_1004 Ga0192657_100468 0.54 133054.assembled.gff
Ga0192657_1004 Ga0192657_100471 0.547 133054.assembled.gff
Ga0192657_1004 Ga0192657_100472 0.534 133054.assembled.gff
Ga0192657_1004 Ga0192657_100473 0.501 133054.assembled.gff
Ga0192657_1004 Ga0192657_100474 0.544 133054.assembled.gff
Ga0192657_1004 Ga0192657_100475 0.551 133054.assembled.gff
Ga0192657_1004 Ga0192657_100476 0.497 133054.assembled.gff
Ga0192657_1004 Ga0192657_100477 0.525 133054.assembled.gff
Ga0192657_1004 Ga0192657_100478 0.525 133054.assembled.gff
Ga0192657_1004 Ga0192657_100479 0.466 133054.assembled.gff
Ga0192657_1004 Ga0192657_100480 0.465 133054.assembled.gff
Ga0192657_1004 Ga0192657_100481 0.545 133054.assembled.gff
Ga0192657_1004 Ga0192657_100482 0.509 133054.assembled.gff
Ga0192657_1004 Ga0192657_100483 0.553 133054.assembled.gff
Ga0192657_1004 Ga0192657_100484 0.553 133054.assembled.gff
Ga0192657_1004 Ga0192657_100485 0.576 133054.assembled.gff
Ga0192657_1004 Ga0192657_100486 0.554 133054.assembled.gff
Ga0192657_1004 Ga0192657_100487 0.547 133054.assembled.gff
Ga0192657_1004 Ga0192657_100488 0.559 133054.assembled.gff
Ga0192657_1004 Ga0192657_100489 0.541 133054.assembled.gff
Ga0192657_1004 Ga0192657_100490 0.521 133054.assembled.gff
Ga0192657_1004 Ga0192657_100491 0.541 133054.assembled.gff
Ga0192657_1004 Ga0192657_100492 0.561 133054.assembled.gff
Ga0192657_1004 Ga0192657_100493 0.572 133054.assembled.gff
Ga0192657_1004 Ga0192657_100494 0.559 133054.assembled.gff
Ga0192657_1004 Ga0192657_100495 0.505 133054.assembled.gff
Ga0192657_1004 Ga0192657_100496 0.486 133054.assembled.gff
Ga0192657_1004 Ga0192657_100497 0.455 133054.assembled.gff
Ga0192657_1004 Ga0192657_100498 0.507 133054.assembled.gff
Ga0192657_1004 Ga0192657_100499 0.499 133054.assembled.gff
Ga0192657_1004 Ga0192657_1004101 0.544 133054.assembled.gff
Ga0192657_1004 Ga0192657_1004102 0.566 133054.assembled.gff
Ga0192657_1005 Ga0192657_10051 0.584 133054.assembled.gff
Ga0192657_1005 Ga0192657_10052 0.595 133054.assembled.gff
Ga0192657_1005 Ga0192657_10053 0.539 133054.assembled.gff
Ga0192657_1005 Ga0192657_10054 0.578 133054.assembled.gff
Ga0192657_1005 Ga0192657_10055 0.551 133054.assembled.gff
Ga0192657_1005 Ga0192657_10056 0.556 133054.assembled.gff
Ga0192657_1005 Ga0192657_10057 0.546 133054.assembled.gff
Ga0192657_1005 Ga0192657_10058 0.525 133054.assembled.gff
Ga0192657_1005 Ga0192657_10059 0.522 133054.assembled.gff
Ga0192657_1005 Ga0192657_100510 0.524 133054.assembled.gff
Ga0192657_1005 Ga0192657_100511 0.53 133054.assembled.gff
Ga0192657_1005 Ga0192657_100512 0.532 133054.assembled.gff
Ga0192657_1006 Ga0192657_10061 0.599 133054.assembled.gff
Ga0192657_1006 Ga0192657_10062 0.531 133054.assembled.gff
Ga0192657_1006 Ga0192657_10063 0.507 133054.assembled.gff
Ga0192657_1006 Ga0192657_10064 0.493 133054.assembled.gff
Ga0192657_1006 Ga0192657_10065 0.497 133054.assembled.gff
Ga0192657_1006 Ga0192657_10066 0.517 133054.assembled.gff
Ga0192657_1006 Ga0192657_10067 0.567 133054.assembled.gff
Ga0192657_1006 Ga0192657_10068 0.507 133054.assembled.gff
Ga0192657_1006 Ga0192657_10069 0.565 133054.assembled.gff
Ga0192657_1006 Ga0192657_100610 0.566 133054.assembled.gff
Ga0192657_1006 Ga0192657_100611 0.545 133054.assembled.gff
Ga0192657_1006 Ga0192657_100612 0.583 133054.assembled.gff
Ga0192657_1007 Ga0192657_10071 0.533 133054.assembled.gff
Ga0192657_1007 Ga0192657_10072 0.541 133054.assembled.gff
Ga0192657_1007 Ga0192657_10073 0.549 133054.assembled.gff
Ga0192657_1007 Ga0192657_10074 0.577 133054.assembled.gff
Ga0192657_1007 Ga0192657_10075 0.552 133054.assembled.gff
Ga0192657_1007 Ga0192657_10076 0.552 133054.assembled.gff
Ga0192657_1007 Ga0192657_10077 0.538 133054.assembled.gff
Ga0192657_1007 Ga0192657_10078 0.59 133054.assembled.gff
Ga0192657_1007 Ga0192657_10079 0.553 133054.assembled.gff
Ga0192657_1007 Ga0192657_100710 0.531 133054.assembled.gff
Ga0192657_1007 Ga0192657_100711 0.566 133054.assembled.gff
Ga0192657_1007 Ga0192657_100712 0.498 133054.assembled.gff
Ga0192657_1007 Ga0192657_100713 0.507 133054.assembled.gff
Ga0192657_1007 Ga0192657_100714 0.462 133054.assembled.gff
Ga0192657_1007 Ga0192657_100715 0.53 133054.assembled.gff
Ga0192657_1007 Ga0192657_100717 0.519 133054.assembled.gff
Ga0192657_1007 Ga0192657_100718 0.514 133054.assembled.gff
Ga0192657_1007 Ga0192657_100719 0.531 133054.assembled.gff
Ga0192657_1007 Ga0192657_100720 0.559 133054.assembled.gff
Ga0192657_1007 Ga0192657_100721 0.564 133054.assembled.gff
Ga0192657_1007 Ga0192657_100722 0.535 133054.assembled.gff
Ga0192657_1007 Ga0192657_100723 0.549 133054.assembled.gff
Ga0192657_1007 Ga0192657_100724 0.56 133054.assembled.gff
Ga0192657_1007 Ga0192657_100725 0.571 133054.assembled.gff
Ga0192657_1008 Ga0192657_10081 0.607 133054.assembled.gff
Ga0192657_1008 Ga0192657_10082 0.577 133054.assembled.gff
Ga0192657_1008 Ga0192657_10083 0.576 133054.assembled.gff
Ga0192657_1008 Ga0192657_10084 0.578 133054.assembled.gff
Ga0192657_1008 Ga0192657_10085 0.526 133054.assembled.gff
Ga0192657_1008 Ga0192657_10086 0.565 133054.assembled.gff
Ga0192657_1008 Ga0192657_10087 0.592 133054.assembled.gff
Ga0192657_1008 Ga0192657_10088 0.617 133054.assembled.gff
Ga0192657_1008 Ga0192657_10089 0.525 133054.assembled.gff
Ga0192657_1008 Ga0192657_100810 0.604 133054.assembled.gff
Ga0192657_1008 Ga0192657_100811 0.578 133054.assembled.gff
Ga0192657_1008 Ga0192657_100812 0.628 133054.assembled.gff
Ga0192657_1008 Ga0192657_100813 0.576 133054.assembled.gff
Ga0192657_1008 Ga0192657_100814 0.604 133054.assembled.gff
Ga0192657_1008 Ga0192657_100815 0.608 133054.assembled.gff
Ga0192657_1008 Ga0192657_100816 0.603 133054.assembled.gff
Ga0192657_1008 Ga0192657_100817 0.602 133054.assembled.gff
Ga0192657_1008 Ga0192657_100818 0.56 133054.assembled.gff
Ga0192657_1008 Ga0192657_100819 0.566 133054.assembled.gff
Ga0192657_1008 Ga0192657_100820 0.564 133054.assembled.gff
Ga0192657_1008 Ga0192657_100822 0.573 133054.assembled.gff
Ga0192657_1008 Ga0192657_100823 0.559 133054.assembled.gff
Ga0192657_1008 Ga0192657_100824 0.509 133054.assembled.gff
Ga0192657_1008 Ga0192657_100825 0.504 133054.assembled.gff
Ga0192657_1009 Ga0192657_10091 0.59 133054.assembled.gff
Ga0192657_1009 Ga0192657_10092 0.591 133054.assembled.gff
Ga0192657_1009 Ga0192657_10093 0.478 133054.assembled.gff
Ga0192657_1009 Ga0192657_10094 0.576 133054.assembled.gff
Ga0192657_1009 Ga0192657_10095 0.565 133054.assembled.gff
Ga0192657_1009 Ga0192657_10096 0.582 133054.assembled.gff
Ga0192657_1010 Ga0192657_10101 0.547 133054.assembled.gff
Ga0192657_1010 Ga0192657_10102 0.556 133054.assembled.gff
Ga0192657_1010 Ga0192657_10103 0.571 133054.assembled.gff
Ga0192657_1010 Ga0192657_10104 0.54 133054.assembled.gff
Ga0192657_1010 Ga0192657_10105 0.543 133054.assembled.gff
Ga0192657_1010 Ga0192657_10106 0.523 133054.assembled.gff
Ga0192657_1010 Ga0192657_10107 0.563 133054.assembled.gff
Ga0192657_1010 Ga0192657_10108 0.493 133054.assembled.gff
Ga0192657_1010 Ga0192657_10109 0.545 133054.assembled.gff
Ga0192657_1010 Ga0192657_101010 0.574 133054.assembled.gff
Ga0192657_1011 Ga0192657_10111 0.586 133054.assembled.gff
Ga0192657_1011 Ga0192657_10112 0.55 133054.assembled.gff
Ga0192657_1011 Ga0192657_10113 0.592 133054.assembled.gff
Ga0192657_1011 Ga0192657_10114 0.608 133054.assembled.gff
Ga0192657_1011 Ga0192657_10115 0.542 133054.assembled.gff
Ga0192657_1011 Ga0192657_10116 0.615 133054.assembled.gff
Ga0192657_1011 Ga0192657_10117 0.549 133054.assembled.gff
Ga0192657_1011 Ga0192657_10118 0.556 133054.assembled.gff
Ga0192657_1011 Ga0192657_10119 0.579 133054.assembled.gff
Ga0192657_1011 Ga0192657_101110 0.496 133054.assembled.gff
Ga0192657_1011 Ga0192657_101111 0.597 133054.assembled.gff
Ga0192657_1011 Ga0192657_101112 0.642 133054.assembled.gff
Ga0192657_1011 Ga0192657_101113 0.595 133054.assembled.gff
Ga0192657_1011 Ga0192657_101114 0.627 133054.assembled.gff
Ga0192657_1011 Ga0192657_101115 0.608 133054.assembled.gff
Ga0192657_1011 Ga0192657_101116 0.615 133054.assembled.gff
Ga0192657_1011 Ga0192657_101117 0.512 133054.assembled.gff
Ga0192657_1011 Ga0192657_101118 0.646 133054.assembled.gff
Ga0192657_1011 Ga0192657_101119 0.637 133054.assembled.gff
Ga0192657_1011 Ga0192657_101120 0.626 133054.assembled.gff
Ga0192657_1011 Ga0192657_101121 0.58 133054.assembled.gff
