contig contig_geneID GC Genome
Ga0194081_1001 Ga0194081_10011 0.504 133651.assembled.gff
Ga0194081_1001 Ga0194081_10012 0.514 133651.assembled.gff
Ga0194081_1001 Ga0194081_10013 0.559 133651.assembled.gff
Ga0194081_1001 Ga0194081_10014 0.489 133651.assembled.gff
Ga0194081_1001 Ga0194081_10016 0.539 133651.assembled.gff
Ga0194081_1002 Ga0194081_10021 0.542 133651.assembled.gff
Ga0194081_1002 Ga0194081_10022 0.561 133651.assembled.gff
Ga0194081_1002 Ga0194081_10023 0.558 133651.assembled.gff
Ga0194081_1002 Ga0194081_10024 0.544 133651.assembled.gff
Ga0194081_1003 Ga0194081_10031 0.553 133651.assembled.gff
Ga0194081_1003 Ga0194081_10032 0.539 133651.assembled.gff
Ga0194081_1003 Ga0194081_10033 0.536 133651.assembled.gff
Ga0194081_1003 Ga0194081_10034 0.525 133651.assembled.gff
Ga0194081_1003 Ga0194081_10035 0.501 133651.assembled.gff
Ga0194081_1004 Ga0194081_10041 0.541 133651.assembled.gff
Ga0194081_1004 Ga0194081_10042 0.492 133651.assembled.gff
Ga0194081_1004 Ga0194081_10043 0.547 133651.assembled.gff
Ga0194081_1004 Ga0194081_10044 0.556 133651.assembled.gff
Ga0194081_1004 Ga0194081_10045 0.505 133651.assembled.gff
Ga0194081_1005 Ga0194081_10051 0.479 133651.assembled.gff
Ga0194081_1005 Ga0194081_10052 0.509 133651.assembled.gff
Ga0194081_1005 Ga0194081_10053 0.539 133651.assembled.gff
Ga0194081_1005 Ga0194081_10054 0.507 133651.assembled.gff
Ga0194081_1006 Ga0194081_10061 0.552 133651.assembled.gff
Ga0194081_1006 Ga0194081_10062 0.508 133651.assembled.gff
Ga0194081_1006 Ga0194081_10063 0.549 133651.assembled.gff
Ga0194081_1006 Ga0194081_10064 0.532 133651.assembled.gff
Ga0194081_1006 Ga0194081_10065 0.514 133651.assembled.gff
Ga0194081_1006 Ga0194081_10066 0.543 133651.assembled.gff
Ga0194081_1006 Ga0194081_10067 0.589 133651.assembled.gff
Ga0194081_1007 Ga0194081_10071 0.477 133651.assembled.gff
Ga0194081_1007 Ga0194081_10072 0.515 133651.assembled.gff
Ga0194081_1007 Ga0194081_10073 0.543 133651.assembled.gff
Ga0194081_1007 Ga0194081_10074 0.508 133651.assembled.gff
Ga0194081_1008 Ga0194081_10081 0.515 133651.assembled.gff
Ga0194081_1008 Ga0194081_10082 0.54 133651.assembled.gff
Ga0194081_1008 Ga0194081_10083 0.542 133651.assembled.gff
Ga0194081_1008 Ga0194081_10084 0.544 133651.assembled.gff
Ga0194081_1009 Ga0194081_10091 0.535 133651.assembled.gff
Ga0194081_1009 Ga0194081_10092 0.505 133651.assembled.gff
Ga0194081_1009 Ga0194081_10093 0.487 133651.assembled.gff
Ga0194081_1009 Ga0194081_10094 0.488 133651.assembled.gff
Ga0194081_1009 Ga0194081_10095 0.527 133651.assembled.gff
Ga0194081_1009 Ga0194081_10096 0.502 133651.assembled.gff
Ga0194081_1010 Ga0194081_10101 0.532 133651.assembled.gff
Ga0194081_1010 Ga0194081_10102 0.5 133651.assembled.gff
Ga0194081_1010 Ga0194081_10103 0.48 133651.assembled.gff
Ga0194081_1010 Ga0194081_10104 0.465 133651.assembled.gff
