contig contig_geneID GC Genome
Ga0194078_1001 Ga0194078_10011 0.632 133648.assembled.gff
Ga0194078_1001 Ga0194078_10012 0.52 133648.assembled.gff
Ga0194078_1001 Ga0194078_10013 0.612 133648.assembled.gff
Ga0194078_1002 Ga0194078_10021 0.565 133648.assembled.gff
Ga0194078_1002 Ga0194078_10022 0.576 133648.assembled.gff
Ga0194078_1002 Ga0194078_10023 0.588 133648.assembled.gff
Ga0194078_1002 Ga0194078_10024 0.59 133648.assembled.gff
Ga0194078_1003 Ga0194078_10031 0.556 133648.assembled.gff
Ga0194078_1003 Ga0194078_10032 0.587 133648.assembled.gff
Ga0194078_1003 Ga0194078_10033 0.64 133648.assembled.gff
Ga0194078_1003 Ga0194078_10034 0.501 133648.assembled.gff
Ga0194078_1004 Ga0194078_10041 0.656 133648.assembled.gff
Ga0194078_1004 Ga0194078_10042 0.6 133648.assembled.gff
Ga0194078_1004 Ga0194078_10043 0.653 133648.assembled.gff
Ga0194078_1004 Ga0194078_10044 0.584 133648.assembled.gff
Ga0194078_1004 Ga0194078_10045 0.631 133648.assembled.gff
Ga0194078_1005 Ga0194078_10051 0.619 133648.assembled.gff
Ga0194078_1005 Ga0194078_10052 0.614 133648.assembled.gff
Ga0194078_1005 Ga0194078_10053 0.628 133648.assembled.gff
Ga0194078_1005 Ga0194078_10054 0.612 133648.assembled.gff
Ga0194078_1005 Ga0194078_10055 0.587 133648.assembled.gff
Ga0194078_1005 Ga0194078_10056 0.599 133648.assembled.gff
Ga0194078_1005 Ga0194078_10057 0.619 133648.assembled.gff
Ga0194078_1005 Ga0194078_10058 0.59 133648.assembled.gff
Ga0194078_1005 Ga0194078_10059 0.602 133648.assembled.gff
Ga0194078_1006 Ga0194078_10061 0.61 133648.assembled.gff
Ga0194078_1006 Ga0194078_10062 0.556 133648.assembled.gff
Ga0194078_1006 Ga0194078_10063 0.56 133648.assembled.gff
Ga0194078_1006 Ga0194078_10064 0.581 133648.assembled.gff
Ga0194078_1006 Ga0194078_10065 0.583 133648.assembled.gff
Ga0194078_1006 Ga0194078_10066 0.593 133648.assembled.gff
Ga0194078_1006 Ga0194078_10067 0.548 133648.assembled.gff
Ga0194078_1006 Ga0194078_10068 0.61 133648.assembled.gff
Ga0194078_1006 Ga0194078_10069 0.56 133648.assembled.gff
Ga0194078_1006 Ga0194078_100610 0.595 133648.assembled.gff
Ga0194078_1006 Ga0194078_100611 0.615 133648.assembled.gff
Ga0194078_1006 Ga0194078_100612 0.539 133648.assembled.gff
Ga0194078_1006 Ga0194078_100613 0.61 133648.assembled.gff
Ga0194078_1006 Ga0194078_100614 0.617 133648.assembled.gff
Ga0194078_1007 Ga0194078_10071 0.587 133648.assembled.gff
Ga0194078_1007 Ga0194078_10072 0.591 133648.assembled.gff
Ga0194078_1007 Ga0194078_10073 0.581 133648.assembled.gff
Ga0194078_1008 Ga0194078_10081 0.541 133648.assembled.gff
Ga0194078_1008 Ga0194078_10082 0.603 133648.assembled.gff
Ga0194078_1008 Ga0194078_10083 0.621 133648.assembled.gff
Ga0194078_1009 Ga0194078_10091 0.469 133648.assembled.gff
Ga0194078_1009 Ga0194078_10092 0.556 133648.assembled.gff
Ga0194078_1009 Ga0194078_10093 0.583 133648.assembled.gff
Ga0194078_1009 Ga0194078_10094 0.526 133648.assembled.gff
Ga0194078_1009 Ga0194078_10095 0.558 133648.assembled.gff
Ga0194078_1009 Ga0194078_10096 0.585 133648.assembled.gff
Ga0194078_1009 Ga0194078_10097 0.608 133648.assembled.gff
Ga0194078_1009 Ga0194078_10098 0.598 133648.assembled.gff
Ga0194078_1009 Ga0194078_10099 0.594 133648.assembled.gff
Ga0194078_1010 Ga0194078_10101 0.591 133648.assembled.gff
Ga0194078_1010 Ga0194078_10102 0.571 133648.assembled.gff
Ga0194078_1010 Ga0194078_10103 0.568 133648.assembled.gff
Ga0194078_1010 Ga0194078_10104 0.528 133648.assembled.gff
Ga0194078_1010 Ga0194078_10105 0.59 133648.assembled.gff
Ga0194078_1011 Ga0194078_10111 0.617 133648.assembled.gff
