contig contig_geneID GC Genome
Ga0194077_1001 Ga0194077_10011 0.618 133647.assembled.gff
Ga0194077_1001 Ga0194077_10012 0.529 133647.assembled.gff
Ga0194077_1001 Ga0194077_10013 0.619 133647.assembled.gff
Ga0194077_1001 Ga0194077_10014 0.587 133647.assembled.gff
Ga0194077_1001 Ga0194077_10015 0.571 133647.assembled.gff
Ga0194077_1001 Ga0194077_10017 0.564 133647.assembled.gff
Ga0194077_1001 Ga0194077_10019 0.542 133647.assembled.gff
Ga0194077_1002 Ga0194077_10021 0.587 133647.assembled.gff
Ga0194077_1002 Ga0194077_10022 0.614 133647.assembled.gff
Ga0194077_1002 Ga0194077_10023 0.669 133647.assembled.gff
Ga0194077_1002 Ga0194077_10024 0.638 133647.assembled.gff
Ga0194077_1003 Ga0194077_10031 0.648 133647.assembled.gff
Ga0194077_1003 Ga0194077_10032 0.623 133647.assembled.gff
Ga0194077_1003 Ga0194077_10033 0.617 133647.assembled.gff
Ga0194077_1003 Ga0194077_10034 0.649 133647.assembled.gff
Ga0194077_1003 Ga0194077_10035 0.577 133647.assembled.gff
Ga0194077_1004 Ga0194077_10041 0.629 133647.assembled.gff
Ga0194077_1004 Ga0194077_10042 0.63 133647.assembled.gff
Ga0194077_1004 Ga0194077_10043 0.636 133647.assembled.gff
Ga0194077_1004 Ga0194077_10044 0.623 133647.assembled.gff
Ga0194077_1004 Ga0194077_10045 0.601 133647.assembled.gff
Ga0194077_1005 Ga0194077_10051 0.572 133647.assembled.gff
Ga0194077_1005 Ga0194077_10052 0.586 133647.assembled.gff
Ga0194077_1005 Ga0194077_10053 0.593 133647.assembled.gff
Ga0194077_1005 Ga0194077_10054 0.601 133647.assembled.gff
Ga0194077_1005 Ga0194077_10056 0.654 133647.assembled.gff
Ga0194077_1006 Ga0194077_10061 0.59 133647.assembled.gff
Ga0194077_1006 Ga0194077_10062 0.579 133647.assembled.gff
Ga0194077_1006 Ga0194077_10063 0.588 133647.assembled.gff
Ga0194077_1006 Ga0194077_10064 0.587 133647.assembled.gff
Ga0194077_1006 Ga0194077_10065 0.541 133647.assembled.gff
Ga0194077_1006 Ga0194077_10066 0.54 133647.assembled.gff
Ga0194077_1006 Ga0194077_10067 0.55 133647.assembled.gff
Ga0194077_1006 Ga0194077_10068 0.578 133647.assembled.gff
Ga0194077_1006 Ga0194077_10069 0.584 133647.assembled.gff
Ga0194077_1006 Ga0194077_100610 0.578 133647.assembled.gff
Ga0194077_1007 Ga0194077_10071 0.584 133647.assembled.gff
Ga0194077_1007 Ga0194077_10072 0.626 133647.assembled.gff
Ga0194077_1007 Ga0194077_10073 0.623 133647.assembled.gff
Ga0194077_1007 Ga0194077_10074 0.61 133647.assembled.gff
Ga0194077_1007 Ga0194077_10075 0.62 133647.assembled.gff
Ga0194077_1007 Ga0194077_10076 0.623 133647.assembled.gff
Ga0194077_1007 Ga0194077_10077 0.576 133647.assembled.gff
Ga0194077_1007 Ga0194077_10078 0.64 133647.assembled.gff
Ga0194077_1007 Ga0194077_10079 0.64 133647.assembled.gff
Ga0194077_1007 Ga0194077_100710 0.642 133647.assembled.gff
Ga0194077_1008 Ga0194077_10081 0.629 133647.assembled.gff
Ga0194077_1008 Ga0194077_10082 0.502 133647.assembled.gff
Ga0194077_1008 Ga0194077_10083 0.531 133647.assembled.gff
Ga0194077_1008 Ga0194077_10084 0.616 133647.assembled.gff
Ga0194077_1008 Ga0194077_10085 0.631 133647.assembled.gff
Ga0194077_1008 Ga0194077_10086 0.587 133647.assembled.gff
Ga0194077_1008 Ga0194077_10087 0.574 133647.assembled.gff
Ga0194077_1008 Ga0194077_10088 0.578 133647.assembled.gff
Ga0194077_1008 Ga0194077_10089 0.565 133647.assembled.gff
Ga0194077_1008 Ga0194077_100810 0.528 133647.assembled.gff
Ga0194077_1008 Ga0194077_100811 0.557 133647.assembled.gff
Ga0194077_1008 Ga0194077_100812 0.496 133647.assembled.gff
Ga0194077_1009 Ga0194077_10091 0.627 133647.assembled.gff
Ga0194077_1009 Ga0194077_10092 0.583 133647.assembled.gff
Ga0194077_1009 Ga0194077_10093 0.614 133647.assembled.gff
Ga0194077_1009 Ga0194077_10094 0.602 133647.assembled.gff
Ga0194077_1009 Ga0194077_10095 0.59 133647.assembled.gff
Ga0194077_1009 Ga0194077_10096 0.603 133647.assembled.gff
Ga0194077_1009 Ga0194077_10097 0.583 133647.assembled.gff
Ga0194077_1009 Ga0194077_10098 0.592 133647.assembled.gff
Ga0194077_1009 Ga0194077_10099 0.568 133647.assembled.gff
Ga0194077_1009 Ga0194077_100910 0.539 133647.assembled.gff
Ga0194077_1009 Ga0194077_100911 0.578 133647.assembled.gff
Ga0194077_1009 Ga0194077_100912 0.557 133647.assembled.gff
Ga0194077_1009 Ga0194077_100913 0.566 133647.assembled.gff
Ga0194077_1009 Ga0194077_100914 0.536 133647.assembled.gff
Ga0194077_1009 Ga0194077_100915 0.57 133647.assembled.gff
Ga0194077_1010 Ga0194077_10101 0.547 133647.assembled.gff
Ga0194077_1010 Ga0194077_10102 0.578 133647.assembled.gff
Ga0194077_1010 Ga0194077_10103 0.558 133647.assembled.gff
Ga0194077_1010 Ga0194077_10104 0.564 133647.assembled.gff
Ga0194077_1010 Ga0194077_10105 0.583 133647.assembled.gff
Ga0194077_1010 Ga0194077_10107 0.609 133647.assembled.gff
Ga0194077_1010 Ga0194077_10108 0.585 133647.assembled.gff
Ga0194077_1010 Ga0194077_10109 0.602 133647.assembled.gff
Ga0194077_1010 Ga0194077_101010 0.633 133647.assembled.gff
Ga0194077_1010 Ga0194077_101011 0.629 133647.assembled.gff
Ga0194077_1010 Ga0194077_101012 0.588 133647.assembled.gff
Ga0194077_1010 Ga0194077_101013 0.612 133647.assembled.gff
Ga0194077_1010 Ga0194077_101014 0.645 133647.assembled.gff
Ga0194077_1010 Ga0194077_101015 0.621 133647.assembled.gff
Ga0194077_1010 Ga0194077_101016 0.619 133647.assembled.gff
Ga0194077_1010 Ga0194077_101017 0.622 133647.assembled.gff
Ga0194077_1011 Ga0194077_10111 0.579 133647.assembled.gff
Ga0194077_1011 Ga0194077_10112 0.567 133647.assembled.gff
Ga0194077_1011 Ga0194077_10113 0.617 133647.assembled.gff
Ga0194077_1011 Ga0194077_10114 0.596 133647.assembled.gff
Ga0194077_1011 Ga0194077_10115 0.596 133647.assembled.gff
Ga0194077_1012 Ga0194077_10121 0.549 133647.assembled.gff
Ga0194077_1012 Ga0194077_10122 0.612 133647.assembled.gff
Ga0194077_1012 Ga0194077_10123 0.62 133647.assembled.gff
Ga0194077_1012 Ga0194077_10124 0.577 133647.assembled.gff
Ga0194077_1012 Ga0194077_10125 0.599 133647.assembled.gff
Ga0194077_1012 Ga0194077_10126 0.617 133647.assembled.gff
Ga0194077_1013 Ga0194077_10131 0.568 133647.assembled.gff
Ga0194077_1013 Ga0194077_10132 0.674 133647.assembled.gff
Ga0194077_1013 Ga0194077_10133 0.635 133647.assembled.gff
Ga0194077_1013 Ga0194077_10134 0.626 133647.assembled.gff
Ga0194077_1013 Ga0194077_10135 0.723 133647.assembled.gff
Ga0194077_1014 Ga0194077_10141 0.682 133647.assembled.gff
Ga0194077_1014 Ga0194077_10142 0.68 133647.assembled.gff
Ga0194077_1014 Ga0194077_10143 0.635 133647.assembled.gff
Ga0194077_1014 Ga0194077_10144 0.623 133647.assembled.gff
Ga0194077_1014 Ga0194077_10145 0.593 133647.assembled.gff
Ga0194077_1014 Ga0194077_10146 0.627 133647.assembled.gff
Ga0194077_1014 Ga0194077_10147 0.58 133647.assembled.gff
Ga0194077_1014 Ga0194077_10148 0.593 133647.assembled.gff
Ga0194077_1014 Ga0194077_10149 0.558 133647.assembled.gff
Ga0194077_1014 Ga0194077_101410 0.573 133647.assembled.gff
Ga0194077_1014 Ga0194077_101411 0.614 133647.assembled.gff
Ga0194077_1014 Ga0194077_101412 0.591 133647.assembled.gff
Ga0194077_1014 Ga0194077_101413 0.6 133647.assembled.gff
Ga0194077_1014 Ga0194077_101414 0.557 133647.assembled.gff
Ga0194077_1014 Ga0194077_101415 0.612 133647.assembled.gff
Ga0194077_1014 Ga0194077_101416 0.599 133647.assembled.gff
Ga0194077_1014 Ga0194077_101417 0.575 133647.assembled.gff
Ga0194077_1014 Ga0194077_101418 0.638 133647.assembled.gff
Ga0194077_1014 Ga0194077_101419 0.558 133647.assembled.gff
Ga0194077_1014 Ga0194077_101420 0.612 133647.assembled.gff
Ga0194077_1014 Ga0194077_101421 0.549 133647.assembled.gff
Ga0194077_1014 Ga0194077_101422 0.583 133647.assembled.gff
Ga0194077_1014 Ga0194077_101423 0.581 133647.assembled.gff
Ga0194077_1015 Ga0194077_10151 0.637 133647.assembled.gff
Ga0194077_1015 Ga0194077_10152 0.64 133647.assembled.gff
Ga0194077_1015 Ga0194077_10153 0.569 133647.assembled.gff
Ga0194077_1015 Ga0194077_10154 0.595 133647.assembled.gff
Ga0194077_1015 Ga0194077_10155 0.603 133647.assembled.gff
Ga0194077_1016 Ga0194077_10161 0.551 133647.assembled.gff
