contig contig_geneID GC Genome
Ga0192654_1001 Ga0192654_10011 0.593 133052.assembled.gff
Ga0192654_1001 Ga0192654_10012 0.597 133052.assembled.gff
Ga0192654_1001 Ga0192654_10013 0.594 133052.assembled.gff
Ga0192654_1001 Ga0192654_10014 0.578 133052.assembled.gff
Ga0192654_1001 Ga0192654_10015 0.591 133052.assembled.gff
Ga0192654_1001 Ga0192654_10016 0.603 133052.assembled.gff
Ga0192654_1001 Ga0192654_10017 0.61 133052.assembled.gff
Ga0192654_1001 Ga0192654_10018 0.632 133052.assembled.gff
Ga0192654_1001 Ga0192654_10019 0.557 133052.assembled.gff
Ga0192654_1001 Ga0192654_100110 0.509 133052.assembled.gff
Ga0192654_1001 Ga0192654_100111 0.479 133052.assembled.gff
Ga0192654_1001 Ga0192654_100112 0.497 133052.assembled.gff
Ga0192654_1001 Ga0192654_100113 0.494 133052.assembled.gff
Ga0192654_1001 Ga0192654_100114 0.548 133052.assembled.gff
Ga0192654_1001 Ga0192654_100115 0.558 133052.assembled.gff
Ga0192654_1001 Ga0192654_100116 0.589 133052.assembled.gff
Ga0192654_1001 Ga0192654_100117 0.567 133052.assembled.gff
Ga0192654_1001 Ga0192654_100118 0.584 133052.assembled.gff
Ga0192654_1001 Ga0192654_100119 0.578 133052.assembled.gff
Ga0192654_1001 Ga0192654_100120 0.585 133052.assembled.gff
Ga0192654_1001 Ga0192654_100121 0.594 133052.assembled.gff
Ga0192654_1001 Ga0192654_100122 0.595 133052.assembled.gff
Ga0192654_1001 Ga0192654_100123 0.595 133052.assembled.gff
Ga0192654_1001 Ga0192654_100124 0.588 133052.assembled.gff
Ga0192654_1001 Ga0192654_100125 0.569 133052.assembled.gff
Ga0192654_1001 Ga0192654_100126 0.6 133052.assembled.gff
Ga0192654_1001 Ga0192654_100127 0.564 133052.assembled.gff
Ga0192654_1001 Ga0192654_100128 0.596 133052.assembled.gff
Ga0192654_1001 Ga0192654_100129 0.607 133052.assembled.gff
Ga0192654_1001 Ga0192654_100130 0.525 133052.assembled.gff
Ga0192654_1001 Ga0192654_100131 0.579 133052.assembled.gff
Ga0192654_1001 Ga0192654_100132 0.541 133052.assembled.gff
Ga0192654_1001 Ga0192654_100133 0.572 133052.assembled.gff
