,Position,Fa13.BD.MLB.SN.MAG4-A,Fa13.BD.MLB.SN.MAG4-C,Fa13.BD.MLB.SN.MAG4-G,Fa13.BD.MLB.SN.MAG4-T,Su13.BD.MLB.DD.MAG4-A,Su13.BD.MLB.DD.MAG4-C,Su13.BD.MLB.DD.MAG4-G,Su13.BD.MLB.DD.MAG4-T,Su13.BD.MM15.SN.C.MAG4-A,Su13.BD.MM15.SN.C.MAG4-C,Su13.BD.MM15.SN.C.MAG4-G,Su13.BD.MM15.SN.C.MAG4-T,Sp13.BD.MM110.DD.MAG4-A,Sp13.BD.MM110.DD.MAG4-C,Sp13.BD.MM110.DD.MAG4-G,Sp13.BD.MM110.DD.MAG4-T,Fa13.BD.MM15.SD.MAG4-A,Fa13.BD.MM15.SD.MAG4-C,Fa13.BD.MM15.SD.MAG4-G,Fa13.BD.MM15.SD.MAG4-T,Su13.BD.MM110.DN.MAG4-A,Su13.BD.MM110.DN.MAG4-C,Su13.BD.MM110.DN.MAG4-G,Su13.BD.MM110.DN.MAG4-T,Fa13.BD.MM15.SN.MAG4-A,Fa13.BD.MM15.SN.MAG4-C,Fa13.BD.MM15.SN.MAG4-G,Fa13.BD.MM15.SN.MAG4-T,Su13.BD.MLB.SD.C.MAG4-A,Su13.BD.MLB.SD.C.MAG4-C,Su13.BD.MLB.SD.C.MAG4-G,Su13.BD.MLB.SD.C.MAG4-T,Fa13.BD.MM110.SD.MAG4-A,Fa13.BD.MM110.SD.MAG4-C,Fa13.BD.MM110.SD.MAG4-G,Fa13.BD.MM110.SD.MAG4-T,Sp13.BD.MM110.SN.MAG4-A,Sp13.BD.MM110.SN.MAG4-C,Sp13.BD.MM110.SN.MAG4-G,Sp13.BD.MM110.SN.MAG4-T,Su13.BD.MM110.DCMD.MAG4-A,Su13.BD.MM110.DCMD.MAG4-C,Su13.BD.MM110.DCMD.MAG4-G,Su13.BD.MM110.DCMD.MAG4-T,Su13.BD.MM15.DN.MAG4-A,Su13.BD.MM15.DN.MAG4-C,Su13.BD.MM15.DN.MAG4-G,Su13.BD.MM15.DN.MAG4-T,Fa13.BD.MM110.SN.MAG4-A,Fa13.BD.MM110.SN.MAG4-C,Fa13.BD.MM110.SN.MAG4-G,Fa13.BD.MM110.SN.MAG4-T,Sp13.BD.MM15.SN.MAG4-A,Sp13.BD.MM15.SN.MAG4-C,Sp13.BD.MM15.SN.MAG4-G,Sp13.BD.MM15.SN.MAG4-T,Fa13.BD.MM15.DN.MAG4-A,Fa13.BD.MM15.DN.MAG4-C,Fa13.BD.MM15.DN.MAG4-G,Fa13.BD.MM15.DN.MAG4-T,Sp13.BD.MM15.DD.A.MAG4-A,Sp13.BD.MM15.DD.A.MAG4-C,Sp13.BD.MM15.DD.A.MAG4-G,Sp13.BD.MM15.DD.A.MAG4-T,Sp13.BD.MM15.SD.MAG4-A,Sp13.BD.MM15.SD.MAG4-C,Sp13.BD.MM15.SD.MAG4-G,Sp13.BD.MM15.SD.MAG4-T,Su13.BD.MM110.SD.MAG4-A,Su13.BD.MM110.SD.MAG4-C,Su13.BD.MM110.SD.MAG4-G,Su13.BD.MM110.SD.MAG4-T,Fa13.BD.MM110.DN.MAG4-A,Fa13.BD.MM110.DN.MAG4-C,Fa13.BD.MM110.DN.MAG4-G,Fa13.BD.MM110.DN.MAG4-T,Sp13.BD.MLB.SN.MAG4-A,Sp13.BD.MLB.SN.MAG4-C,Sp13.BD.MLB.SN.MAG4-G,Sp13.BD.MLB.SN.MAG4-T,Su13.BD.MM15.SD.MAG4-A,Su13.BD.MM15.SD.MAG4-C,Su13.BD.MM15.SD.MAG4-G,Su13.BD.MM15.SD.MAG4-T,Su13.BD.MM110.SN.C.MAG4-A,Su13.BD.MM110.SN.C.MAG4-C,Su13.BD.MM110.SN.C.MAG4-G,Su13.BD.MM110.SN.C.MAG4-T,Sp13.BD.MM110.SD.MAG4-A,Sp13.BD.MM110.SD.MAG4-C,Sp13.BD.MM110.SD.MAG4-G,Sp13.BD.MM110.SD.MAG4-T,Fa13.BD.MLB.DN.MAG4-A,Fa13.BD.MLB.DN.MAG4-C,Fa13.BD.MLB.DN.MAG4-G,Fa13.BD.MLB.DN.MAG4-T
contig_18674_1,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,10,0,1,0,1
contig_18674_1,75,0,22,0,0,0,7,0,1,0,5,0,1,0,41,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,1,0,8,0,0,0,8,0,0,0,5,0,0,0,9,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,53,0,0,0,9,0,0
contig_18674_1,90,0,25,0,3,0,11,0,0,0,6,0,0,0,47,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,9,0,0,0,10,0,0,0,5,0,0,0,12,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,60,0,0,0,10,0,1
contig_18674_1,96,0,27,0,1,0,7,0,4,0,2,0,4,0,23,0,27,0,6,0,0,0,0,0,1,0,5,0,1,0,4,0,3,0,0,0,0,0,37,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,8,0,3,0,5,0,4,0,5,0,5,0,2,0,3,0,10,0,3,0,5,0,0,0,0,0,0,0,1,0,1,0,32,0,30,0,12,0,1
contig_18674_1,99,16,0,0,15,0,2,0,9,0,0,0,6,18,1,0,31,4,0,0,2,0,0,0,1,5,0,0,1,0,2,0,5,0,0,0,0,33,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,8,0,0,3,4,0,0,5,2,0,0,8,2,0,0,3,9,0,0,4,3,2,0,0,0,0,0,0,1,0,0,1,31,0,0,33,10,0,0,3
contig_18674_1,112,0,0,29,5,0,0,4,8,0,0,1,4,0,0,0,55,0,0,2,5,0,0,0,1,0,0,0,10,0,0,5,4,0,0,0,0,0,0,1,62,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,0,13,0,0,0,11,0,0,0,11,0,0,0,5,0,0,1,14,0,0,1,4,0,0,0,0,0,0,0,2,0,0,0,73,0,0,6,7
contig_18674_1,114,0,12,5,17,0,4,8,0,0,0,4,1,0,0,56,0,0,2,5,0,0,0,1,0,0,0,10,0,1,4,4,0,0,0,0,0,0,1,64,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,7,0,0,0,13,0,1,0,10,0,0,0,11,0,0,0,5,0,0,0,14,1,1,0,4,0,0,0,0,0,0,0,2,0,0,0,77,0,0,2,7,5
contig_18674_1,120,23,0,14,0,8,0,4,0,5,0,0,0,57,0,0,0,5,0,2,0,1,0,0,0,14,0,0,0,4,0,4,0,0,0,0,0,67,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,11,0,0,0,15,0,0,0,11,0,0,0,15,0,0,0,5,0,0,0,15,0,0,0,5,0,0,0,2,0,0,0,2,0,0,0,77,0,0,0,13,0,2,0
contig_18674_1,123,0,0,0,38,0,1,0,11,0,2,0,3,0,20,0,36,0,0,0,7,0,0,0,1,0,1,0,13,0,1,0,8,0,0,0,0,0,19,1,44,0,0,0,0,0,1,0,3,0,0,0,1,0,1,0,10,0,4,0,11,0,3,0,8,0,5,0,10,0,1,0,4,0,4,0,11,0,1,0,4,0,0,0,2,0,1,0,0,0,14,0,62,0,0,0,16
contig_18674_1,126,5,34,0,0,3,8,0,1,0,3,0,2,19,17,0,18,4,2,0,0,0,1,0,0,11,1,0,1,1,7,0,1,0,0,0,0,28,19,0,16,0,0,0,0,2,1,0,1,0,1,0,0,6,4,0,1,9,3,0,3,5,5,0,2,8,2,0,5,2,2,0,1,9,3,0,4,4,1,0,0,2,0,0,0,0,0,0,1,40,25,0,14,6,10,0,0
