,Position,Fa13.BD.MM15.DN.MAG6-A,Fa13.BD.MM15.DN.MAG6-C,Fa13.BD.MM15.DN.MAG6-G,Fa13.BD.MM15.DN.MAG6-T,Sp13.BD.MM110.DD.MAG6-A,Sp13.BD.MM110.DD.MAG6-C,Sp13.BD.MM110.DD.MAG6-G,Sp13.BD.MM110.DD.MAG6-T,Fa13.BD.MM110.SN.MAG6-A,Fa13.BD.MM110.SN.MAG6-C,Fa13.BD.MM110.SN.MAG6-G,Fa13.BD.MM110.SN.MAG6-T,Sp13.BD.MLB.SN.MAG6-A,Sp13.BD.MLB.SN.MAG6-C,Sp13.BD.MLB.SN.MAG6-G,Sp13.BD.MLB.SN.MAG6-T,Su13.BD.MLB.SD.C.MAG6-A,Su13.BD.MLB.SD.C.MAG6-C,Su13.BD.MLB.SD.C.MAG6-G,Su13.BD.MLB.SD.C.MAG6-T,Sp13.BD.MM110.SN.MAG6-A,Sp13.BD.MM110.SN.MAG6-C,Sp13.BD.MM110.SN.MAG6-G,Sp13.BD.MM110.SN.MAG6-T,Su13.BD.MM110.DN.MAG6-A,Su13.BD.MM110.DN.MAG6-C,Su13.BD.MM110.DN.MAG6-G,Su13.BD.MM110.DN.MAG6-T,Su13.BD.MM15.DN.MAG6-A,Su13.BD.MM15.DN.MAG6-C,Su13.BD.MM15.DN.MAG6-G,Su13.BD.MM15.DN.MAG6-T,Fa13.BD.MLB.SN.MAG6-A,Fa13.BD.MLB.SN.MAG6-C,Fa13.BD.MLB.SN.MAG6-G,Fa13.BD.MLB.SN.MAG6-T,Su13.BD.MM15.SN.C.MAG6-A,Su13.BD.MM15.SN.C.MAG6-C,Su13.BD.MM15.SN.C.MAG6-G,Su13.BD.MM15.SN.C.MAG6-T,Su13.BD.MLB.DD.MAG6-A,Su13.BD.MLB.DD.MAG6-C,Su13.BD.MLB.DD.MAG6-G,Su13.BD.MLB.DD.MAG6-T,Sp13.BD.MM15.SD.MAG6-A,Sp13.BD.MM15.SD.MAG6-C,Sp13.BD.MM15.SD.MAG6-G,Sp13.BD.MM15.SD.MAG6-T,Sp13.BD.MM15.SN.MAG6-A,Sp13.BD.MM15.SN.MAG6-C,Sp13.BD.MM15.SN.MAG6-G,Sp13.BD.MM15.SN.MAG6-T,Su13.BD.MM110.SD.MAG6-A,Su13.BD.MM110.SD.MAG6-C,Su13.BD.MM110.SD.MAG6-G,Su13.BD.MM110.SD.MAG6-T,Fa13.BD.MM110.SD.MAG6-A,Fa13.BD.MM110.SD.MAG6-C,Fa13.BD.MM110.SD.MAG6-G,Fa13.BD.MM110.SD.MAG6-T,Fa13.BD.MM15.SD.MAG6-A,Fa13.BD.MM15.SD.MAG6-C,Fa13.BD.MM15.SD.MAG6-G,Fa13.BD.MM15.SD.MAG6-T,Fa13.BD.MM15.SN.MAG6-A,Fa13.BD.MM15.SN.MAG6-C,Fa13.BD.MM15.SN.MAG6-G,Fa13.BD.MM15.SN.MAG6-T,Su13.BD.MM15.SD.MAG6-A,Su13.BD.MM15.SD.MAG6-C,Su13.BD.MM15.SD.MAG6-G,Su13.BD.MM15.SD.MAG6-T,Fa13.BD.MM110.DN.MAG6-A,Fa13.BD.MM110.DN.MAG6-C,Fa13.BD.MM110.DN.MAG6-G,Fa13.BD.MM110.DN.MAG6-T,Fa13.BD.MLB.DN.MAG6-A,Fa13.BD.MLB.DN.MAG6-C,Fa13.BD.MLB.DN.MAG6-G,Fa13.BD.MLB.DN.MAG6-T,Sp13.BD.MM110.SD.MAG6-A,Sp13.BD.MM110.SD.MAG6-C,Sp13.BD.MM110.SD.MAG6-G,Sp13.BD.MM110.SD.MAG6-T,Sp13.BD.MM15.DD.A.MAG6-A,Sp13.BD.MM15.DD.A.MAG6-C,Sp13.BD.MM15.DD.A.MAG6-G,Sp13.BD.MM15.DD.A.MAG6-T,Su13.BD.MM110.SN.C.MAG6-A,Su13.BD.MM110.SN.C.MAG6-C,Su13.BD.MM110.SN.C.MAG6-G,Su13.BD.MM110.SN.C.MAG6-T
contig_20045_1,7,0,0,3,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,5,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,1,0,0,0,12,0,13,0,0,0,4,0,0,0,0,0
contig_20045_1,13,3,0,0,0,24,0,4,0,0,0,0,0,0,0,0,0,4,0,1,0,15,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,0,1,0,1,0,27,0,1,0,3,0,1,0,0,0,0,0
contig_20045_1,16,0,3,0,0,4,22,2,0,0,0,0,0,0,0,0,0,0,5,0,0,5,11,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,0,0,0,2,0,0,6,23,0,0,0,4,0,0,0,0,0,0
contig_20045_1,18,0,0,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,16,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,6,0,0,0,2,0,0,0,29,0,0,0,5,0,0,0,0,0
contig_20045_1,25,9,0,0,0,29,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12,0,0,0,4,0,0,0,32,0,1,0,4,0,1,0,0,0,0,0
contig_20045_1,37,9,0,0,0,31,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,25,0,0,0,0,0,0,0,8,0,0,0,2,0,0,1,2,0,0,0,0,0,0,1,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,4,0,0,0,43,1,0,0,7,1,0,0,0,0,0,0
contig_20045_1,40,0,0,9,0,1,2,34,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,13,0,0,0,5,0,0,1,48,0,0,1,8,0,0,0,0,0
contig_20045_1,43,0,11,0,0,1,37,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,27,0,2,0,0,0,0,0,7,0,1,0,2,0,1,0,2,0,0,0,0,0,1,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,12,0,1,0,3,0,2,0,49,0,5,0,9,0,0,0,2,0,0
contig_20045_1,46,0,0,11,0,0,2,39,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,31,0,0,0,0,0,0,0,8,0,0,1,2,0,0,0,6,0,0,1,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,13,0,0,0,5,0,1,1,55,0,0,1,8,0,0,0,2,0
contig_20045_1,48,0,0,12,0,2,0,41,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,32,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,6,0,0,0,1,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,14,0,0,0,5,0,1,0,57,0,1,0,8,0,0,0,2,0
