,Position,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
contig_18057_68,96,0.004,0.768,0.0,0.228,0.0,0.0,0.0,1.0,0.0,0.224,0.0,0.776,0.08,0.324,0.132,0.464
contig_18057_68,111,0.0,0.012,0.368,0.62,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.012,0.044,0.656,0.288
contig_18057_68,112,0.0,0.816,0.0,0.184,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.04,0.368,0.016,0.576
contig_18057_68,114,0.008,0.008,0.132,0.852,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.104,0.004,0.612,0.28
contig_18057_68,115,0.012,0.676,0.0,0.312,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.044,0.612,0.028,0.316
contig_18057_68,117,0.12,0.008,0.872,0.0,0.0,0.0,1.0,0.0,0.996,0.0,0.004,0.0,0.104,0.02,0.856,0.02
contig_18057_68,129,0.012,0.372,0.608,0.008,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02,0.732,0.216,0.032
contig_18057_68,132,0.084,0.004,0.912,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.116,0.056,0.808,0.02
contig_18057_68,133,0.0,0.9,0.004,0.096,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.024,0.856,0.028,0.092
contig_18057_68,138,0.004,0.2,0.708,0.088,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.012,0.172,0.768,0.048
contig_18057_68,141,0.0,0.068,0.932,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.028,0.968,0.004
contig_18057_68,147,0.0,0.216,0.0,0.784,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.976,0.0,0.024
contig_18057_68,150,0.008,0.0,0.0,0.992,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.36,0.624,0.0,0.016
contig_18057_68,153,0.0,0.148,0.0,0.852,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.704,0.0,0.296
contig_18057_68,156,0.0,0.964,0.0,0.036,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.0,0.1
contig_18057_68,162,0.0,0.776,0.224,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.22,0.78,0.0
contig_18057_68,168,0.232,0.0,0.768,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.784,0.0,0.216,0.0
contig_18057_68,171,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.972,0.028,0.0,0.0
contig_18057_68,177,0.056,0.0,0.944,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.88,0.0,0.12,0.0
contig_18057_68,180,0.008,0.676,0.236,0.08,0.0,0.0,0.0,1.0,0.0,0.08,0.92,0.0,0.008,0.672,0.232,0.088
contig_18057_68,185,0.28,0.024,0.68,0.016,0.0,0.0,1.0,0.0,0.796,0.0,0.204,0.0,0.068,0.004,0.916,0.012
contig_18057_68,186,0.12,0.028,0.004,0.848,0.0,1.0,0.0,0.0,0.884,0.004,0.0,0.112,0.032,0.228,0.02,0.72
contig_18057_68,189,0.548,0.032,0.4,0.02,0.0,0.0,1.0,0.0,0.384,0.0,0.616,0.0,0.584,0.036,0.356,0.024
contig_18057_68,201,0.108,0.36,0.092,0.44,0.0,0.0,0.0,1.0,0.016,0.864,0.012,0.108,0.052,0.724,0.028,0.196
contig_18057_68,202,0.068,0.408,0.064,0.46,0.0,0.0,0.0,1.0,0.024,0.6,0.028,0.348,0.048,0.652,0.028,0.272
contig_18057_68,207,0.456,0.084,0.412,0.048,1.0,0.0,0.0,0.0,0.328,0.028,0.632,0.012,0.208,0.052,0.688,0.052
contig_18057_68,210,0.096,0.36,0.456,0.088,0.0,0.0,1.0,0.0,0.008,0.86,0.12,0.012,0.036,0.7,0.2,0.064
contig_18057_68,213,0.064,0.368,0.492,0.076,0.0,0.0,1.0,0.0,0.02,0.832,0.14,0.008,0.048,0.7,0.204,0.048
contig_18057_68,217,0.036,0.424,0.34,0.2,0.0,0.0,0.0,1.0,0.008,0.32,0.528,0.144,0.036,0.14,0.66,0.164
contig_18057_68,219,0.052,0.412,0.484,0.052,0.0,0.0,1.0,0.0,0.012,0.568,0.396,0.024,0.024,0.6,0.348,0.028
contig_18057_68,228,0.028,0.412,0.02,0.54,0.0,0.0,0.0,1.0,0.0,0.976,0.0,0.024,0.0,0.704,0.0,0.296
contig_18057_68,237,0.012,0.588,0.008,0.392,0.0,1.0,0.0,0.0,0.0,0.232,0.0,0.768,0.0,0.616,0.004,0.38
contig_18057_68,250,0.552,0.044,0.372,0.032,1.0,0.0,0.0,0.0,0.048,0.0,0.948,0.004,0.012,0.004,0.976,0.008
contig_18057_68,251,0.036,0.392,0.476,0.096,0.0,0.0,1.0,0.0,0.004,0.944,0.044,0.008,0.0,0.972,0.024,0.004
contig_18057_68,252,0.032,0.616,0.3,0.052,0.0,1.0,0.0,0.0,0.008,0.084,0.908,0.0,0.004,0.892,0.092,0.012
contig_18057_68,255,0.012,0.66,0.1,0.228,0.0,0.0,1.0,0.0,0.0,0.088,0.004,0.908,0.0,0.028,0.004,0.968
contig_18057_68,263,0.576,0.004,0.416,0.004,1.0,0.0,0.0,0.0,0.368,0.0,0.632,0.0,0.992,0.0,0.008,0.0
contig_18057_68,267,0.012,0.468,0.012,0.508,0.0,1.0,0.0,0.0,0.0,0.868,0.0,0.132,0.0,0.008,0.0,0.992
contig_18057_68,268,0.152,0.012,0.824,0.012,1.0,0.0,0.0,0.0,0.004,0.0,0.996,0.0,0.0,0.0,1.0,0.0
contig_18057_68,270,0.0,0.348,0.004,0.648,0.0,1.0,0.0,0.0,0.0,0.596,0.0,0.404,0.0,1.0,0.0,0.0
contig_18057_68,273,0.0,0.316,0.0,0.684,0.0,1.0,0.0,0.0,0.0,0.936,0.0,0.064,0.0,0.0,0.0,1.0
contig_18057_68,276,0.0,0.408,0.0,0.592,0.0,0.0,0.0,1.0,0.0,0.644,0.0,0.356,0.0,0.988,0.0,0.012
contig_18057_68,282,0.0,0.172,0.0,0.828,0.0,1.0,0.0,0.0,0.0,0.004,0.0,0.996,0.0,0.0,0.0,1.0
contig_18057_68,288,0.528,0.0,0.472,0.0,1.0,0.0,0.0,0.0,0.46,0.0,0.54,0.0,0.0,0.0,1.0,0.0
contig_18057_68,291,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_18057_68,294,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_18057_68,297,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
contig_18057_68,300,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_18057_68,303,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_18057_68,306,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_18057_68,318,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_18057_68,322,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_18057_68,324,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_18057_68,327,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_18057_68,330,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
contig_18057_68,331,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_18057_68,333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_18057_68,336,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
contig_18057_68,339,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_18057_68,342,0.0,0.944,0.0,0.056,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_18057_68,345,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_18057_68,348,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_18057_68,351,0.0,0.292,0.0,0.708,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
contig_18057_68,357,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_18057_68,363,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_18057_68,366,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_18057_68,369,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_18057_68,370,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
contig_18057_68,375,0.012,0.708,0.0,0.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
contig_18057_68,378,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_18057_68,379,0.636,0.364,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_18057_68,380,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_18057_68,387,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_18057_68,390,0.028,0.0,0.972,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_18057_68,393,0.796,0.0,0.204,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_18057_68,396,0.248,0.0,0.752,0.0,0.0,0.0,1.0,0.0,0.492,0.0,0.508,0.0,0.276,0.0,0.724,0.0
contig_18057_68,399,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_18057_68,405,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.416,0.584,0.0,0.0,0.0,1.0,0.0
contig_18057_68,408,0.292,0.224,0.484,0.0,0.0,1.0,0.0,0.0,0.984,0.0,0.016,0.0,0.0,0.0,1.0,0.0
contig_18057_68,411,0.0,0.768,0.0,0.232,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
contig_18057_68,417,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
