,0,1,2,3,4,5,6
Fa13.BD.MM110.SD.MAG9,0.0312269169182,0.0170491437621,0.373043488073,0.0193284377734,0.538764186317,0.0052471356255,0.0153406915304
Sp13.BD.MM110.SD.MAG9,0.00510914046233,0.604524540139,0.259323201633,0.0296067220644,0.0417737883171,0.0057158435217,0.0539467638625
Sp13.BD.MM15.SN.MAG9,0.0221072893404,0.251727889146,0.213994874757,0.301081770745,0.0498280774456,0.070704917511,0.0905551810549
Su13.BD.MLB.DD.MAG9,0.061793396827,0.050408019744,0.416859077002,0.135087210779,0.101173979759,0.206909842346,0.0277684735427
Sp13.BD.MM15.DD.A.MAG9,0.02552507096,0.251889740446,0.239739692986,0.28545863401,0.0411052597537,0.0792674603562,0.0770141414888
Sp13.BD.MM110.SN.MAG9,0.00609312095476,0.534069844965,0.252002818777,0.0407165195046,0.0926706857334,0.00337404079884,0.0710729692669
Fa13.BD.MM15.DN.MAG9,0.0130718821533,0.279713696439,0.380726466958,0.0139260157412,0.263337869813,0.0103820986335,0.038841970263
Sp13.BD.MM110.DD.MAG9,0.00492814714216,0.561078071499,0.271308890763,0.0640708150871,0.0389200563788,0.00955829959359,0.0501357195365
Su13.BD.MM110.DCMD.MAG9,0.00897987114195,0.151990525493,0.595675196518,0.0129880577418,0.20137868611,0.000802547556384,0.0281851154382
Su13.BD.MLB.SD.C.MAG9,0.0642636542442,0.0771299352803,0.280896538055,0.215598694271,0.0819648935636,0.261488007979,0.0186582766059
Su13.BD.MM110.SD.MAG9,0.0190920465782,0.0408212450033,0.700274917632,0.0251256482994,0.188877154397,0.006495677592,0.0193133104983
Sp13.BD.MM15.SD.MAG9,0.0218187343329,0.282439442693,0.276896838933,0.242058712757,0.0446466255926,0.0586314669952,0.0735081786961
Sp13.BD.MLB.SN.MAG9,0.0259127658464,0.0848884697251,0.150453915462,0.45908432111,0.0692536707748,0.10775900939,0.102647847691
Fa13.BD.MM15.SN.MAG9,0.0220325334697,0.157668838141,0.389788245603,0.0241719346232,0.373129131205,0.0123887797709,0.0208205371874
Fa13.BD.MLB.DN.MAG9,0.061368902738,0.0743889303834,0.310878544528,0.158784283455,0.124841309406,0.240812393984,0.0289256355057
Su13.BD.MM15.SN.C.MAG9,0.0201159807122,0.108945370369,0.65516611439,0.062190497324,0.0960495096183,0.0392084947067,0.0183240328796
Fa13.BD.MM15.SD.MAG9,0.026756960468,0.0899225992056,0.412950698471,0.0151195568525,0.426101833334,0.00716126005741,0.0219870916107
Su13.BD.MM15.DN.MAG9,0.00619008644493,0.319064039392,0.547014544194,0.014995530668,0.0792419593912,0.0027265087218,0.0307673311878
Fa13.BD.MLB.SN.MAG9,0.0644936592892,0.0822444850898,0.262359321691,0.188558128377,0.116539314688,0.261942510798,0.0238625800668
Su13.BD.MM110.SN.C.MAG9,0.0231343054831,0.0360333211288,0.673159358819,0.0260623462724,0.20333916347,0.0147966325081,0.0234748723183
Fa13.BD.MM110.DN.MAG9,0.00989572344165,0.233109594312,0.205393520878,0.00414149063542,0.400229674431,0.00213589826954,0.145094098032
Fa13.BD.MM110.SN.MAG9,0.0326565447826,0.0487446620226,0.396646738811,0.0132757502483,0.493778188191,0.00481086655679,0.0100872493872
Su13.BD.MM15.SD.MAG9,0.0209406174438,0.0678660268897,0.68391909871,0.0512270939281,0.115797309999,0.0416356711889,0.0186141818397
