,Position,0,1,2,3,4,5,6,7
contig_20765_4,201,0.988,0.0,0.012,0.0,0.0,0.0,1.0,0.0
contig_20765_4,220,0.748,0.0,0.252,0.0,0.248,0.0,0.752,0.0
contig_20765_4,224,0.004,0.92,0.068,0.008,0.0,0.0,1.0,0.0
contig_20765_4,225,0.004,0.004,0.0,0.992,1.0,0.0,0.0,0.0
contig_20765_4,226,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
contig_20765_4,229,0.0,0.6,0.0,0.4,0.0,0.0,0.0,1.0
contig_20765_4,232,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
contig_20765_4,265,0.004,0.996,0.0,0.0,0.0,0.016,0.0,0.984
contig_20765_4,273,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_20765_4,277,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_20765_4,298,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_20765_4,309,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
contig_20765_4,311,0.996,0.004,0.0,0.0,0.0,1.0,0.0,0.0
contig_20765_5,34,0.976,0.0,0.024,0.0,1.0,0.0,0.0,0.0
contig_20765_5,37,0.0,0.988,0.0,0.012,0.0,0.0,0.0,1.0
contig_20765_5,45,0.0,0.004,0.0,0.996,0.0,1.0,0.0,0.0
contig_20765_5,48,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
contig_20765_5,79,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_20765_5,82,0.976,0.0,0.024,0.0,0.0,0.0,0.0,1.0
contig_20765_5,91,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_20765_5,106,0.008,0.0,0.992,0.0,0.0,0.0,1.0,0.0
contig_20765_5,114,0.0,0.008,0.0,0.992,0.0,0.0,0.0,1.0
contig_20765_5,117,0.052,0.0,0.948,0.0,0.0,0.0,1.0,0.0
contig_20765_5,118,0.536,0.0,0.464,0.0,0.0,0.0,1.0,0.0
contig_20765_5,124,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_20765_5,127,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
contig_20765_5,130,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_20765_5,132,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_20765_5,138,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_20765_5,142,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
contig_20765_5,148,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_20765_5,154,0.0,0.0,0.82,0.18,0.0,0.0,1.0,0.0
contig_20765_5,157,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_20765_5,166,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
contig_20765_5,172,0.64,0.0,0.36,0.0,0.0,0.0,1.0,0.0
contig_20765_5,181,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_20765_5,190,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_20765_5,199,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
