,Position,value
contig_19336_2,0,0.0
contig_19336_2,1,0.0512820512821
contig_19336_2,2,0.0
contig_19336_2,3,0.0
contig_19336_2,4,0.0
contig_19336_2,5,0.0
contig_19336_2,6,0.0
contig_19336_2,7,0.0
contig_19336_2,8,0.0
contig_19336_2,9,0.0
contig_19336_2,10,0.0
contig_19336_2,11,0.0
contig_19336_2,12,0.0
contig_19336_2,13,0.0
contig_19336_2,14,0.0
contig_19336_2,15,0.0
contig_19336_2,16,0.0
contig_19336_2,17,0.0
contig_19336_2,18,0.0
contig_19336_2,19,0.0
contig_19336_2,20,0.0
contig_19336_2,21,0.0
contig_19336_2,22,0.0
contig_19336_2,23,0.0
contig_19336_2,24,0.0
contig_19336_2,25,0.0
contig_19336_2,26,0.0
contig_19336_2,27,0.0
contig_19336_2,28,0.0
contig_19336_2,29,0.0
contig_19336_2,30,0.0
contig_19336_2,31,0.0
contig_19336_2,32,0.0
contig_19336_2,33,0.0
contig_19336_2,34,0.0
contig_19336_2,35,0.0
contig_19336_2,36,0.0
contig_19336_2,37,0.0
contig_19336_2,38,0.0
contig_19336_2,39,0.0
contig_19336_2,40,0.0144927536232
contig_19336_2,41,0.0
contig_19336_2,42,0.0
contig_19336_2,43,0.0
contig_19336_2,44,0.0
contig_19336_2,45,0.0
contig_19336_2,46,0.0
contig_19336_2,47,0.0
contig_19336_2,48,0.0
contig_19336_2,49,0.0
contig_19336_2,50,0.0144927536232
contig_19336_2,51,0.0
contig_19336_2,52,0.0
contig_19336_2,53,0.0
contig_19336_2,54,0.0142857142857
contig_19336_2,55,0.0
contig_19336_2,56,0.0
contig_19336_2,57,0.0
contig_19336_2,58,0.0
contig_19336_2,59,0.0
contig_19336_2,60,0.0
contig_19336_2,61,0.0
contig_19336_2,62,0.0
contig_19336_2,63,0.0147058823529
contig_19336_2,64,0.0
contig_19336_2,65,0.0
contig_19336_2,66,0.0147058823529
contig_19336_2,67,0.0
contig_19336_2,68,0.0
contig_19336_2,69,0.0
contig_19336_2,70,0.0
contig_19336_2,71,0.0
contig_19336_2,72,0.263888888889
contig_19336_2,73,0.0
contig_19336_2,74,0.0
contig_19336_2,75,0.0
contig_19336_2,76,0.0
contig_19336_2,77,0.0
contig_19336_2,78,0.0
contig_19336_2,79,0.0
contig_19336_2,80,0.0
contig_19336_2,81,0.013698630137
contig_19336_2,82,0.0
contig_19336_2,83,0.0
contig_19336_2,84,0.0140845070423
contig_19336_2,85,0.0147058823529
contig_19336_2,86,0.0
contig_19336_2,87,0.015873015873
contig_19336_2,88,0.0
contig_19336_2,89,0.0
contig_19336_2,90,0.0
contig_19336_2,91,0.0
contig_19336_2,92,0.0
contig_19336_2,93,0.0
contig_19336_2,94,0.0
contig_19336_2,95,0.0
contig_19336_2,96,0.037037037037
contig_19336_2,97,0.0
contig_19336_2,98,0.0
contig_19336_2,99,0.0
contig_19336_2,100,0.0
contig_19336_2,101,0.0
contig_19336_2,102,0.0
contig_19336_2,103,0.0
contig_19336_2,104,0.0
contig_19336_2,105,0.0
contig_19336_2,106,0.0
contig_19336_2,107,0.0
contig_19336_2,108,0.118644067797
contig_19336_2,109,0.0350877192982
contig_19336_2,110,0.0
contig_19336_2,111,0.107142857143
contig_19336_2,112,0.160714285714
contig_19336_2,113,0.0
contig_19336_2,114,0.0
contig_19336_2,115,0.0338983050847
contig_19336_2,116,0.0
contig_19336_2,117,0.0
contig_19336_2,118,0.0
contig_19336_2,119,0.0
contig_19336_2,120,0.016393442623
contig_19336_2,121,0.0
contig_19336_2,122,0.0
contig_19336_2,123,0.0
contig_19336_2,124,0.0
contig_19336_2,125,0.0
contig_19336_2,126,0.0958904109589
contig_19336_2,127,0.0
contig_19336_2,128,0.0
contig_19336_2,129,0.2
contig_19336_2,130,0.0131578947368
contig_19336_2,131,0.0
contig_19336_2,132,0.0
contig_19336_2,133,0.191780821918
contig_19336_2,134,0.0
contig_19336_2,135,0.0
contig_19336_2,136,0.189189189189
contig_19336_2,137,0.0
contig_19336_2,138,0.0253164556962
contig_19336_2,139,0.0
contig_19336_2,140,0.0
contig_19336_2,141,0.178571428571
contig_19336_2,142,0.0
contig_19336_2,143,0.00826446280992
contig_19336_2,144,0.00625
contig_19336_2,145,0.0
contig_19336_2,146,0.0
contig_19336_2,147,0.00613496932515
contig_19336_2,148,0.0
contig_19336_2,149,0.00602409638554
contig_19336_2,150,0.0118343195266
contig_19336_2,151,0.00595238095238
contig_19336_2,152,0.0
contig_19336_2,153,0.00602409638554
contig_19336_2,154,0.0
contig_19336_2,155,0.0
contig_19336_2,156,0.0
contig_19336_2,157,0.0
contig_19336_2,158,0.0
contig_19336_2,159,0.0
contig_19336_2,160,0.0
contig_19336_2,161,0.0
contig_19336_2,162,0.0
contig_19336_2,163,0.259541984733
contig_19336_2,164,0.0322580645161
contig_19336_2,165,0.0
contig_19336_2,166,0.00833333333333
contig_19336_2,167,0.0169491525424
contig_19336_2,168,0.0
contig_19336_2,169,0.0842105263158
contig_19336_2,170,0.0760869565217
contig_19336_2,171,0.0
contig_19336_2,172,0.0
contig_19336_2,173,0.0
contig_19336_2,174,0.0
contig_19336_2,175,0.0
contig_19336_2,176,0.0
contig_19336_2,177,0.0
contig_19336_2,178,0.0
contig_19336_2,179,0.0
contig_19336_2,180,0.0
contig_19336_2,181,0.0
contig_19336_2,182,0.0
contig_19336_2,183,0.0481927710843
contig_19336_2,184,0.0
contig_19336_2,185,0.0
contig_19336_2,186,0.0813953488372
contig_19336_2,187,0.0
contig_19336_2,188,0.0
contig_19336_2,189,0.093023255814
contig_19336_2,190,0.0
contig_19336_2,191,0.0
contig_19336_2,192,0.0
contig_19336_2,193,0.0112359550562
contig_19336_2,194,0.0
contig_19336_2,195,0.0
contig_19336_2,196,0.0
contig_19336_2,197,0.0
contig_19336_2,198,0.0114942528736
contig_19336_2,199,0.0
contig_19336_2,200,0.0
contig_19336_2,201,0.0952380952381
contig_19336_2,202,0.0114942528736
contig_19336_2,203,0.0
contig_19336_2,204,0.0
contig_19336_2,205,0.0
contig_19336_2,206,0.00980392156863
contig_19336_2,207,0.0
contig_19336_2,208,0.0
contig_19336_2,209,0.0
contig_19336_2,210,0.0
contig_19336_2,211,0.0
contig_19336_2,212,0.00990099009901
contig_19336_2,213,0.0
contig_19336_2,214,0.0
contig_19336_2,215,0.0
contig_19336_2,216,0.0631578947368
contig_19336_2,217,0.0
