,4,6,7,8,9
Fa13.BD.MLB.SN.sorted.MAG8,0.0144211264428,0.601557270717,0.0638059353382,0.00554677448297,0.119726745857
Fa13.BD.MLB.DN.sorted.MAG8,0.0298928213469,0.602090080701,0.0481348957134,0.0239268137572,0.105052899407
Sp13.BD.MLB.SN.sorted.MAG8,0.094218024514,0.151806671272,0.166029729623,0.0546127407234,0.303807701103
Su13.BD.MM110.DCMD.sorted.MAG8,0.108342476813,0.060773831001,0.175941621657,0.474600570171,0.0226772123476
Sp13.BD.MM110.SN.sorted.MAG8,0.0757699356861,0.243113036911,0.262020287718,0.239836026601,0.0121999299302
Su13.BD.MLB.SD.C.sorted.MAG8,0.0090257516461,0.298866148139,0.0485816787317,0.00255717350271,0.227236309274
Sp13.BD.MM15.SN.sorted.MAG8,0.0705997921713,0.306807300057,0.198770001483,0.116002431991,0.126336907739
Su13.BD.MLB.DD.sorted.MAG8,0.00689179107536,0.38541372973,0.058775557326,0.0156969570859,0.269296221479
Su13.BD.MM110.SN.C.sorted.MAG8,0.333042081248,0.0137370372179,0.053041427414,0.530457964146,0.0053123780456
Su13.BD.MM15.SN.C.sorted.MAG8,0.234750718006,0.0870018347927,0.108511279049,0.374547728928,0.0419474482606
Sp13.BD.MM15.SD.sorted.MAG8,0.0813132194362,0.304908661142,0.202726470876,0.171020597645,0.0833803427238
Su13.BD.MM110.DN.sorted.MAG8,0.110325397802,0.130406348671,0.22748401697,0.357749576433,0.093983858012
Su13.BD.MM110.SD.sorted.MAG8,0.352885587085,0.0137725956924,0.0673365604748,0.485805460932,0.00596104972515
Sp13.BD.MM110.SD.sorted.MAG8,0.0815610859271,0.280723889156,0.250716469412,0.224856154438,0.00227906823914
Fa13.BD.MM15.DN.sorted.MAG8,0.207932758932,0.121332488725,0.110060757317,0.472560450561,0.00203492149422
Fa13.BD.MM15.SN.sorted.MAG8,0.235386850932,0.0686078323388,0.0811262562755,0.544389354809,0.00115774157789
Fa13.BD.MM110.DN.sorted.MAG8,0.114570386619,0.110501241977,0.269285174369,0.332754609297,0.0308219619955
Sp13.BD.MM15.DD.A.sorted.MAG8,0.0794351716922,0.314875234029,0.184302315721,0.128029531346,0.115551306682
Su13.BD.MM15.SD.sorted.MAG8,0.269738402219,0.0873818773814,0.106351409067,0.367821833033,0.0258713929037
Fa13.BD.MM110.SN.sorted.MAG8,0.265959909475,0.00570765366921,0.016153108421,0.660230698485,0.00199394048674
Sp13.BD.MM110.DD.sorted.MAG8,0.0672238599238,0.312134074766,0.239692463627,0.206230636591,0.0174243038303
Fa13.BD.MM15.SD.sorted.MAG8,0.254524523719,0.0304624158097,0.050664978621,0.597933273834,8.9307388409e-05
Fa13.BD.MM110.SD.sorted.MAG8,0.25907122926,0.00643699787464,0.0281005818443,0.651252086275,0.00158877755178
Su13.BD.MM15.DN.sorted.MAG8,0.154906561039,0.149148214323,0.171555973329,0.407899091536,0.00507148757975
