,1,5,6,7,8,10
Su13.BD.MM110.SD.MAG8,0.0108075917889,0.402640642421,0.0147589316752,0.000406795486022,0.0981658698872,0.406436577479
Sp13.BD.MM15.SD.MAG8,0.0890406252821,0.133769802993,0.282658414854,0.0840823787266,0.218855853047,0.0980139085451
Fa13.BD.MLB.DN.MAG8,0.0123531276544,0.0342530662047,0.54925276388,0.181869866603,0.000448345279009,0.0352959671746
Fa13.BD.MM110.SN.MAG8,0.00700524864043,0.536306137636,7.34723482419e-06,0.00123595163834,0.0848867869296,0.322659129454
Sp13.BD.MM110.SN.MAG8,0.144479468152,0.192651340193,0.242883469063,0.000229098538159,0.298211810905,0.0849502076464
Sp13.BD.MM110.DD.MAG8,0.134087869193,0.179625097319,0.313376611556,0.00838831754749,0.301164313885,0.0229762867187
Sp13.BD.MM110.SD.MAG8,0.135811993211,0.180594354843,0.275928970634,0.00252662881109,0.289976817644,0.079449526742
Su13.BD.MLB.DD.MAG8,0.00752895493013,0.0344828471962,0.304807094463,0.357777291634,9.99999000058e-07,0.00354227380501
Su13.BD.MM15.SN.C.MAG8,0.0231649543004,0.302273137917,0.0745323640453,0.0486776631038,0.137393777893,0.279843319913
Fa13.BD.MM15.SN.MAG8,0.0174733464264,0.438986979147,0.0669972617415,0.00232276512293,0.125487484346,0.292730523655
Fa13.BD.MLB.SN.MAG8,0.00851614580528,0.0102173396352,0.537924669804,0.194251676232,0.0388243711041,0.0199850239297
Su13.BD.MM110.DCMD.MAG8,0.103181140465,0.360837911227,0.0567357319333,0.00983569286198,0.232266478465,0.168469996509
Fa13.BD.MM110.DN.MAG8,0.103887637551,0.259919851894,0.102970338039,0.0180448322798,0.320300458266,0.14131257707
Su13.BD.MM15.SD.MAG8,0.0175889046233,0.301002235821,0.0749319773021,0.0361648034111,0.128832845068,0.312800764356
Su13.BD.MM15.DN.MAG8,0.0621114344409,0.31879137316,0.143087316508,0.00604748979543,0.221742847099,0.194730972756
Sp13.BD.MLB.SN.MAG8,0.0303115317928,0.0375679468093,0.0908477798735,0.288908329591,0.155725470031,0.121273789706
Fa13.BD.MM15.DN.MAG8,0.0332067196232,0.377758959709,0.117829639443,0.00135893335202,0.166025856563,0.247638045971
Sp13.BD.MM15.SN.MAG8,0.0718069222632,0.0899164647922,0.275246471179,0.127353269465,0.18625079361,0.103875922493
Fa13.BD.MM15.SD.MAG8,0.0115549961237,0.488289927283,0.0282679041854,0.00167746999795,0.101857363892,0.309760125114
Sp13.BD.MM15.DD.A.MAG8,0.079008240481,0.106740692815,0.289161167834,0.110295910376,0.200975475355,0.0808163754897
Su13.BD.MM110.DN.MAG8,0.0793442095735,0.325110260735,0.147010082376,5.3203086889e-05,0.37762240747,0.024161433767
Fa13.BD.MM110.SD.MAG8,0.0064315147342,0.526431505757,0.0047542191079,0.000468644517936,0.0773047639301,0.334558352187
Su13.BD.MLB.SD.C.MAG8,0.00500664130255,0.0101688240508,0.234958166338,0.315789369721,0.00263142686387,0.0188681365468
Su13.BD.MM110.SN.C.MAG8,0.0114416676034,0.434633877768,0.0115215772589,0.000970780751005,0.0994822772296,0.384218029236
