,1,5,6,7,8,10
Su13.BD.MM110.SD.MAG8,0.0108717377322,0.401875988376,0.0144941043597,0.000174184419079,0.093768127909,0.412780318665
Sp13.BD.MM15.SD.MAG8,0.0887813743045,0.134957807494,0.284337407883,0.0775806712716,0.231100044307,0.0893903287611
Fa13.BD.MLB.DN.MAG8,0.0131070726123,0.0359260884927,0.551778552267,0.181203418801,0.0002912065643,0.0323605526356
Fa13.BD.MM110.SN.MAG8,0.00661730810609,0.537203318569,4.84408554868e-06,0.00062756534167,0.0790938355385,0.32867407572
Sp13.BD.MM110.SN.MAG8,0.143417380196,0.200349424245,0.239473262022,0.000136465789433,0.312158001461,0.0677007354228
Sp13.BD.MM110.DD.MAG8,0.134907878045,0.182466539902,0.314304992483,0.00352252797421,0.316929257474,0.00688601612517
Sp13.BD.MM110.SD.MAG8,0.137438387601,0.18690284524,0.274138134252,0.00116017429875,0.309428941984,0.0549860442357
Su13.BD.MLB.DD.MAG8,0.00609047129915,0.0317185487371,0.313974712299,0.354827815344,2.46093239986e-05,0.0015376664516
Su13.BD.MM15.SN.C.MAG8,0.0229160825099,0.308658743912,0.0750020278406,0.0498586712085,0.136269125426,0.273679449304
Fa13.BD.MM15.SN.MAG8,0.0166905105795,0.438767429813,0.0659897864465,0.00236002091388,0.13050945641,0.290706836374
Fa13.BD.MLB.SN.MAG8,0.00845103903816,0.00964765407766,0.542271400522,0.18984078265,0.0403579658819,0.0181985337769
Su13.BD.MM110.DCMD.MAG8,0.100580042194,0.368073139376,0.0565917452464,0.0104656671142,0.235667896862,0.161937156919
Fa13.BD.MM110.DN.MAG8,0.105234092089,0.263807784616,0.0990009994751,0.019078923569,0.331938234706,0.125866975215
Su13.BD.MM15.SD.MAG8,0.0190615508269,0.30751848682,0.0763198429322,0.0368876867961,0.128640672172,0.30525130322
Su13.BD.MM15.DN.MAG8,0.0609564033305,0.316470070197,0.1452287992,0.00543413173439,0.225681921477,0.191590967264
Sp13.BD.MLB.SN.MAG8,0.0295363493945,0.041326037193,0.0944030677437,0.283728757057,0.154143381295,0.118183780774
Fa13.BD.MM15.DN.MAG8,0.0340165074295,0.381252767248,0.118151049349,0.00235736892161,0.159908204455,0.249643123813
Sp13.BD.MM15.SN.MAG8,0.0710839233302,0.0899474801749,0.276496808914,0.125531149967,0.193519228838,0.0974666369336
Fa13.BD.MM15.SD.MAG8,0.0122939326975,0.490631782228,0.0280202417262,0.00145297022376,0.10131393588,0.309982402168
Sp13.BD.MM15.DD.A.MAG8,0.076040401474,0.108908448285,0.288649268296,0.109551469178,0.202568048257,0.0783739552819
Su13.BD.MM110.DN.MAG8,0.0779102390219,0.325688945818,0.142366904454,0.00365734435141,0.377406223545,0.028612070669
Fa13.BD.MM110.SD.MAG8,0.00686374837344,0.53217952302,0.00438881749278,0.000811347814017,0.0726331111522,0.333669874532
Su13.BD.MLB.SD.C.MAG8,0.00513062176059,0.0116656745081,0.236074020472,0.315239741394,0.00129873152409,0.0208265668172
Su13.BD.MM110.SN.C.MAG8,0.0109109538206,0.429625123565,0.0102442104011,0.00202652731315,0.0995880768886,0.39108152421
