,Position,Su13.BD.MM15.DN.MAG10-A,Su13.BD.MM15.DN.MAG10-C,Su13.BD.MM15.DN.MAG10-G,Su13.BD.MM15.DN.MAG10-T,Su13.BD.MLB.DD.MAG10-A,Su13.BD.MLB.DD.MAG10-C,Su13.BD.MLB.DD.MAG10-G,Su13.BD.MLB.DD.MAG10-T,Sp13.BD.MM110.DD.MAG10-A,Sp13.BD.MM110.DD.MAG10-C,Sp13.BD.MM110.DD.MAG10-G,Sp13.BD.MM110.DD.MAG10-T,Fa13.BD.MM110.DN.MAG10-A,Fa13.BD.MM110.DN.MAG10-C,Fa13.BD.MM110.DN.MAG10-G,Fa13.BD.MM110.DN.MAG10-T,Sp13.BD.MLB.SN.MAG10-A,Sp13.BD.MLB.SN.MAG10-C,Sp13.BD.MLB.SN.MAG10-G,Sp13.BD.MLB.SN.MAG10-T,Fa13.BD.MLB.DN.MAG10-A,Fa13.BD.MLB.DN.MAG10-C,Fa13.BD.MLB.DN.MAG10-G,Fa13.BD.MLB.DN.MAG10-T,Fa13.BD.MM110.SN.MAG10-A,Fa13.BD.MM110.SN.MAG10-C,Fa13.BD.MM110.SN.MAG10-G,Fa13.BD.MM110.SN.MAG10-T,Sp13.BD.MM15.SN.MAG10-A,Sp13.BD.MM15.SN.MAG10-C,Sp13.BD.MM15.SN.MAG10-G,Sp13.BD.MM15.SN.MAG10-T,Fa13.BD.MM15.SD.MAG10-A,Fa13.BD.MM15.SD.MAG10-C,Fa13.BD.MM15.SD.MAG10-G,Fa13.BD.MM15.SD.MAG10-T,Fa13.BD.MM15.DN.MAG10-A,Fa13.BD.MM15.DN.MAG10-C,Fa13.BD.MM15.DN.MAG10-G,Fa13.BD.MM15.DN.MAG10-T,Su13.BD.MM110.DCMD.MAG10-A,Su13.BD.MM110.DCMD.MAG10-C,Su13.BD.MM110.DCMD.MAG10-G,Su13.BD.MM110.DCMD.MAG10-T,Sp13.BD.MM15.SD.MAG10-A,Sp13.BD.MM15.SD.MAG10-C,Sp13.BD.MM15.SD.MAG10-G,Sp13.BD.MM15.SD.MAG10-T,Sp13.BD.MM15.DD.A.MAG10-A,Sp13.BD.MM15.DD.A.MAG10-C,Sp13.BD.MM15.DD.A.MAG10-G,Sp13.BD.MM15.DD.A.MAG10-T,Sp13.BD.MM110.SN.MAG10-A,Sp13.BD.MM110.SN.MAG10-C,Sp13.BD.MM110.SN.MAG10-G,Sp13.BD.MM110.SN.MAG10-T,Fa13.BD.MM15.SN.MAG10-A,Fa13.BD.MM15.SN.MAG10-C,Fa13.BD.MM15.SN.MAG10-G,Fa13.BD.MM15.SN.MAG10-T,Fa13.BD.MM110.SD.MAG10-A,Fa13.BD.MM110.SD.MAG10-C,Fa13.BD.MM110.SD.MAG10-G,Fa13.BD.MM110.SD.MAG10-T,Su13.BD.MM110.SN.C.MAG10-A,Su13.BD.MM110.SN.C.MAG10-C,Su13.BD.MM110.SN.C.MAG10-G,Su13.BD.MM110.SN.C.MAG10-T,Su13.BD.MM15.SN.C.MAG10-A,Su13.BD.MM15.SN.C.MAG10-C,Su13.BD.MM15.SN.C.MAG10-G,Su13.BD.MM15.SN.C.MAG10-T,Su13.BD.MLB.SD.C.MAG10-A,Su13.BD.MLB.SD.C.MAG10-C,Su13.BD.MLB.SD.C.MAG10-G,Su13.BD.MLB.SD.C.MAG10-T,Su13.BD.MM110.SD.MAG10-A,Su13.BD.MM110.SD.MAG10-C,Su13.BD.MM110.SD.MAG10-G,Su13.BD.MM110.SD.MAG10-T,Fa13.BD.MLB.SN.MAG10-A,Fa13.BD.MLB.SN.MAG10-C,Fa13.BD.MLB.SN.MAG10-G,Fa13.BD.MLB.SN.MAG10-T,Su13.BD.MM15.SD.MAG10-A,Su13.BD.MM15.SD.MAG10-C,Su13.BD.MM15.SD.MAG10-G,Su13.BD.MM15.SD.MAG10-T,Sp13.BD.MM110.SD.MAG10-A,Sp13.BD.MM110.SD.MAG10-C,Sp13.BD.MM110.SD.MAG10-G,Sp13.BD.MM110.SD.MAG10-T
contig_21315_3,0,10,0,0,0,1,0,0,0,16,1,0,0,18,0,0,0,3,0,0,0,13,0,0,0,7,0,0,0,1,0,0,0,8,0,0,0,14,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,18,0,0,0,8,0,0,0,12,0,0,0,12,0,0,0,14,0,0,0,1,0,0,0,12,0,0,0,15,0,0,0,6,0,0,0,23,0,0,0
contig_21315_3,1,0,0,0,10,0,0,0,1,0,0,0,19,0,0,0,18,0,0,0,3,0,0,0,13,0,0,0,7,0,0,0,1,0,0,0,8,0,0,0,14,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,18,0,0,0,8,0,0,0,12,0,0,0,12,0,0,0,14,0,0,0,1,0,0,0,12,0,0,0,15,0,0,0,6,0,0,0,23
contig_21315_3,2,0,10,0,0,0,1,0,0,0,19,0,0,0,18,0,0,0,3,0,0,0,13,0,0,0,7,0,0,0,1,0,0,0,8,0,0,0,14,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,19,0,0,0,8,0,0,0,12,0,0,0,12,0,0,0,14,0,0,0,1,0,0,0,12,0,0,0,15,0,0,0,6,0,0,0,24,0,0
contig_21315_3,3,10,0,0,0,1,0,0,0,19,0,0,0,18,0,0,0,3,0,0,0,13,0,0,0,7,0,0,0,1,0,0,0,8,0,0,0,14,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,18,0,0,1,8,0,0,0,12,0,0,0,12,0,0,0,14,0,0,0,1,0,0,0,13,0,0,0,15,0,0,0,6,0,0,0,23,0,0,0
contig_21315_3,4,0,0,10,0,0,0,1,0,0,0,19,0,0,0,18,0,0,0,3,0,0,0,13,0,0,0,7,0,0,0,1,0,0,0,8,0,0,0,15,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,20,0,0,0,8,0,0,0,12,0,0,0,12,0,0,0,14,0,0,0,1,0,0,0,13,0,0,0,15,0,0,0,6,0,0,0,24,0
contig_21315_3,5,0,0,10,0,0,0,1,0,0,0,19,0,0,0,18,0,0,0,3,0,0,0,13,0,0,0,7,0,0,0,1,0,0,0,8,0,0,0,15,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,20,0,0,0,8,0,0,0,12,0,0,0,12,0,0,0,14,0,0,0,1,0,0,0,13,0,0,0,15,0,0,0,6,0,0,0,24,0
contig_21315_3,6,0,0,0,10,0,0,0,1,0,0,0,18,0,0,0,18,0,0,0,3,0,0,0,13,0,0,0,6,0,0,0,1,0,0,0,8,0,0,0,15,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,19,0,0,0,8,0,0,0,12,0,0,0,12,0,0,0,14,0,0,0,1,0,0,0,13,0,0,0,15,0,0,0,6,0,0,0,24
contig_21315_3,7,0,0,0,10,0,0,0,1,0,0,0,18,0,0,0,18,0,0,0,5,0,0,0,13,0,0,0,6,0,0,0,1,0,0,0,8,0,0,0,15,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,19,0,0,0,9,0,0,0,12,0,0,0,12,0,0,0,14,0,0,0,1,0,0,0,13,0,0,0,15,0,0,0,6,0,0,0,24
contig_21315_3,8,0,0,0,16,0,0,0,2,0,0,0,18,0,0,0,18,0,0,0,7,0,0,0,16,0,0,0,6,0,0,0,3,0,0,0,8,0,0,0,15,0,0,0,2,0,0,0,6,0,0,0,1,0,0,0,19,0,0,0,10,0,0,0,13,0,0,0,12,0,0,0,15,0,0,0,1,0,0,0,13,0,0,0,15,0,0,0,7,0,0,0,24
contig_21315_3,9,0,0,0,16,0,0,0,2,0,0,0,18,0,0,0,20,0,0,0,7,0,0,0,16,0,0,0,6,0,0,0,3,0,0,0,8,0,0,0,15,0,0,0,2,0,0,0,6,0,0,0,1,0,0,0,19,0,0,0,10,0,0,0,13,0,0,0,12,0,0,0,15,0,0,0,1,0,0,0,13,0,0,0,15,0,0,0,7,0,0,0,24
