,Position,Sp13.BD.MM110.DD.MAG3-A,Sp13.BD.MM110.DD.MAG3-C,Sp13.BD.MM110.DD.MAG3-G,Sp13.BD.MM110.DD.MAG3-T,Su13.BD.MM110.SD.MAG3-A,Su13.BD.MM110.SD.MAG3-C,Su13.BD.MM110.SD.MAG3-G,Su13.BD.MM110.SD.MAG3-T,Fa13.BD.MM110.DN.MAG3-A,Fa13.BD.MM110.DN.MAG3-C,Fa13.BD.MM110.DN.MAG3-G,Fa13.BD.MM110.DN.MAG3-T,Sp13.BD.MM110.SN.MAG3-A,Sp13.BD.MM110.SN.MAG3-C,Sp13.BD.MM110.SN.MAG3-G,Sp13.BD.MM110.SN.MAG3-T,Sp13.BD.MM110.SD.MAG3-A,Sp13.BD.MM110.SD.MAG3-C,Sp13.BD.MM110.SD.MAG3-G,Sp13.BD.MM110.SD.MAG3-T,Fa13.BD.MLB.DN.MAG3-A,Fa13.BD.MLB.DN.MAG3-C,Fa13.BD.MLB.DN.MAG3-G,Fa13.BD.MLB.DN.MAG3-T,Sp13.BD.MM15.SN.MAG3-A,Sp13.BD.MM15.SN.MAG3-C,Sp13.BD.MM15.SN.MAG3-G,Sp13.BD.MM15.SN.MAG3-T,Fa13.BD.MM110.SN.MAG3-A,Fa13.BD.MM110.SN.MAG3-C,Fa13.BD.MM110.SN.MAG3-G,Fa13.BD.MM110.SN.MAG3-T,Su13.BD.MM15.DN.MAG3-A,Su13.BD.MM15.DN.MAG3-C,Su13.BD.MM15.DN.MAG3-G,Su13.BD.MM15.DN.MAG3-T,Fa13.BD.MM15.SN.MAG3-A,Fa13.BD.MM15.SN.MAG3-C,Fa13.BD.MM15.SN.MAG3-G,Fa13.BD.MM15.SN.MAG3-T,Su13.BD.MM110.SN.C.MAG3-A,Su13.BD.MM110.SN.C.MAG3-C,Su13.BD.MM110.SN.C.MAG3-G,Su13.BD.MM110.SN.C.MAG3-T,Fa13.BD.MLB.SN.MAG3-A,Fa13.BD.MLB.SN.MAG3-C,Fa13.BD.MLB.SN.MAG3-G,Fa13.BD.MLB.SN.MAG3-T,Su13.BD.MLB.DD.MAG3-A,Su13.BD.MLB.DD.MAG3-C,Su13.BD.MLB.DD.MAG3-G,Su13.BD.MLB.DD.MAG3-T,Su13.BD.MLB.SD.C.MAG3-A,Su13.BD.MLB.SD.C.MAG3-C,Su13.BD.MLB.SD.C.MAG3-G,Su13.BD.MLB.SD.C.MAG3-T,Sp13.BD.MM15.DD.A.MAG3-A,Sp13.BD.MM15.DD.A.MAG3-C,Sp13.BD.MM15.DD.A.MAG3-G,Sp13.BD.MM15.DD.A.MAG3-T,Su13.BD.MM15.SN.C.MAG3-A,Su13.BD.MM15.SN.C.MAG3-C,Su13.BD.MM15.SN.C.MAG3-G,Su13.BD.MM15.SN.C.MAG3-T,Su13.BD.MM110.DCMD.MAG3-A,Su13.BD.MM110.DCMD.MAG3-C,Su13.BD.MM110.DCMD.MAG3-G,Su13.BD.MM110.DCMD.MAG3-T,Su13.BD.MM15.SD.MAG3-A,Su13.BD.MM15.SD.MAG3-C,Su13.BD.MM15.SD.MAG3-G,Su13.BD.MM15.SD.MAG3-T,Sp13.BD.MM15.SD.MAG3-A,Sp13.BD.MM15.SD.MAG3-C,Sp13.BD.MM15.SD.MAG3-G,Sp13.BD.MM15.SD.MAG3-T,Fa13.BD.MM15.DN.MAG3-A,Fa13.BD.MM15.DN.MAG3-C,Fa13.BD.MM15.DN.MAG3-G,Fa13.BD.MM15.DN.MAG3-T,Sp13.BD.MLB.SN.MAG3-A,Sp13.BD.MLB.SN.MAG3-C,Sp13.BD.MLB.SN.MAG3-G,Sp13.BD.MLB.SN.MAG3-T,Fa13.BD.MM110.SD.MAG3-A,Fa13.BD.MM110.SD.MAG3-C,Fa13.BD.MM110.SD.MAG3-G,Fa13.BD.MM110.SD.MAG3-T,Fa13.BD.MM15.SD.MAG3-A,Fa13.BD.MM15.SD.MAG3-C,Fa13.BD.MM15.SD.MAG3-G,Fa13.BD.MM15.SD.MAG3-T
contig_18488_1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_18488_1,57,0,0,2,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,6,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,25,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,2,0,0,0,4,0
contig_18488_1,58,0,2,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,25,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,2,0,0,0,4,0,0
contig_18488_1,66,0,2,0,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,7,0,0,0,10,0,0,0,2,0,0,0,0,0,2,0,24,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,4,0,2,0,2,0,0,0,3,0,0,0,5,0,0
contig_18488_1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
contig_18488_1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,17,0,6,0,1,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
contig_18488_1,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0
contig_18488_1,144,0,0,0,0,0,14,0,0,0,2,0,0,0,4,0,0,0,2,0,1,0,1,0,2,0,2,0,0,0,22,0,0,0,4,0,0,0,14,0,0,0,4,0,0,0,17,0,5,0,1,0,0,0,8,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,29,0,0,0,4,0,0,0,6,0,0,0,14,0,0
contig_18488_1,153,0,0,0,0,0,14,0,0,0,2,0,0,0,4,0,0,1,2,0,0,0,3,0,0,0,2,0,0,0,22,0,0,0,4,0,0,0,14,0,0,0,4,0,0,0,14,0,8,0,1,0,0,0,6,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,29,0,0,0,4,0,0,0,6,0,0,0,14,0,0
contig_18488_1,165,0,0,2,0,0,0,4,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,27,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0
