,Position,0,1,2,3,4,5,6,7
contig_18488_1,36,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
contig_18488_1,57,0.008,0.0,0.992,0.0,0.0,0.0,1.0,0.0
contig_18488_1,58,0.0,0.46,0.54,0.0,0.0,1.0,0.0,0.0
contig_18488_1,66,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_18488_1,99,0.004,0.816,0.004,0.176,0.0,0.0,0.0,1.0
contig_18488_1,102,0.0,0.86,0.0,0.14,0.0,1.0,0.0,0.0
contig_18488_1,138,0.0,0.988,0.012,0.0,0.0,0.0,1.0,0.0
contig_18488_1,144,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_18488_1,153,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_18488_1,165,0.012,0.0,0.988,0.0,0.0,0.0,1.0,0.0
contig_18488_1,171,0.0,0.008,0.0,0.992,0.0,0.0,0.0,1.0
contig_18488_1,177,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_18488_1,184,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
contig_18488_1,185,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_18488_1,189,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_18488_1,192,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
contig_18488_1,195,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_18488_1,201,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
contig_18488_1,202,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_18488_1,210,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_18488_1,229,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_18488_1,231,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
contig_18488_1,237,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_18488_1,240,0.0,0.064,0.0,0.936,0.0,1.0,0.0,0.0
contig_18488_1,243,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
contig_18488_1,246,0.0,0.988,0.0,0.012,0.0,0.0,0.0,1.0
contig_18488_1,273,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
contig_18488_1,276,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
contig_18488_1,282,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_18488_1,285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
contig_18488_1,286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
contig_18488_1,287,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_18488_1,288,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_18488_1,294,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_18488_1,297,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_18488_1,300,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
contig_18488_1,303,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
