,Position,Su13.BD.MM110.SD.MAG8-A,Su13.BD.MM110.SD.MAG8-C,Su13.BD.MM110.SD.MAG8-G,Su13.BD.MM110.SD.MAG8-T,Sp13.BD.MM15.SD.MAG8-A,Sp13.BD.MM15.SD.MAG8-C,Sp13.BD.MM15.SD.MAG8-G,Sp13.BD.MM15.SD.MAG8-T,Fa13.BD.MLB.DN.MAG8-A,Fa13.BD.MLB.DN.MAG8-C,Fa13.BD.MLB.DN.MAG8-G,Fa13.BD.MLB.DN.MAG8-T,Fa13.BD.MM110.SN.MAG8-A,Fa13.BD.MM110.SN.MAG8-C,Fa13.BD.MM110.SN.MAG8-G,Fa13.BD.MM110.SN.MAG8-T,Sp13.BD.MM110.SN.MAG8-A,Sp13.BD.MM110.SN.MAG8-C,Sp13.BD.MM110.SN.MAG8-G,Sp13.BD.MM110.SN.MAG8-T,Sp13.BD.MM110.DD.MAG8-A,Sp13.BD.MM110.DD.MAG8-C,Sp13.BD.MM110.DD.MAG8-G,Sp13.BD.MM110.DD.MAG8-T,Sp13.BD.MM110.SD.MAG8-A,Sp13.BD.MM110.SD.MAG8-C,Sp13.BD.MM110.SD.MAG8-G,Sp13.BD.MM110.SD.MAG8-T,Su13.BD.MLB.DD.MAG8-A,Su13.BD.MLB.DD.MAG8-C,Su13.BD.MLB.DD.MAG8-G,Su13.BD.MLB.DD.MAG8-T,Su13.BD.MM15.SN.C.MAG8-A,Su13.BD.MM15.SN.C.MAG8-C,Su13.BD.MM15.SN.C.MAG8-G,Su13.BD.MM15.SN.C.MAG8-T,Fa13.BD.MM15.SN.MAG8-A,Fa13.BD.MM15.SN.MAG8-C,Fa13.BD.MM15.SN.MAG8-G,Fa13.BD.MM15.SN.MAG8-T,Fa13.BD.MLB.SN.MAG8-A,Fa13.BD.MLB.SN.MAG8-C,Fa13.BD.MLB.SN.MAG8-G,Fa13.BD.MLB.SN.MAG8-T,Su13.BD.MM110.DCMD.MAG8-A,Su13.BD.MM110.DCMD.MAG8-C,Su13.BD.MM110.DCMD.MAG8-G,Su13.BD.MM110.DCMD.MAG8-T,Fa13.BD.MM110.DN.MAG8-A,Fa13.BD.MM110.DN.MAG8-C,Fa13.BD.MM110.DN.MAG8-G,Fa13.BD.MM110.DN.MAG8-T,Su13.BD.MM15.SD.MAG8-A,Su13.BD.MM15.SD.MAG8-C,Su13.BD.MM15.SD.MAG8-G,Su13.BD.MM15.SD.MAG8-T,Su13.BD.MM15.DN.MAG8-A,Su13.BD.MM15.DN.MAG8-C,Su13.BD.MM15.DN.MAG8-G,Su13.BD.MM15.DN.MAG8-T,Sp13.BD.MLB.SN.MAG8-A,Sp13.BD.MLB.SN.MAG8-C,Sp13.BD.MLB.SN.MAG8-G,Sp13.BD.MLB.SN.MAG8-T,Fa13.BD.MM15.DN.MAG8-A,Fa13.BD.MM15.DN.MAG8-C,Fa13.BD.MM15.DN.MAG8-G,Fa13.BD.MM15.DN.MAG8-T,Sp13.BD.MM15.SN.MAG8-A,Sp13.BD.MM15.SN.MAG8-C,Sp13.BD.MM15.SN.MAG8-G,Sp13.BD.MM15.SN.MAG8-T,Fa13.BD.MM15.SD.MAG8-A,Fa13.BD.MM15.SD.MAG8-C,Fa13.BD.MM15.SD.MAG8-G,Fa13.BD.MM15.SD.MAG8-T,Sp13.BD.MM15.DD.A.MAG8-A,Sp13.BD.MM15.DD.A.MAG8-C,Sp13.BD.MM15.DD.A.MAG8-G,Sp13.BD.MM15.DD.A.MAG8-T,Su13.BD.MM110.DN.MAG8-A,Su13.BD.MM110.DN.MAG8-C,Su13.BD.MM110.DN.MAG8-G,Su13.BD.MM110.DN.MAG8-T,Fa13.BD.MM110.SD.MAG8-A,Fa13.BD.MM110.SD.MAG8-C,Fa13.BD.MM110.SD.MAG8-G,Fa13.BD.MM110.SD.MAG8-T,Su13.BD.MLB.SD.C.MAG8-A,Su13.BD.MLB.SD.C.MAG8-C,Su13.BD.MLB.SD.C.MAG8-G,Su13.BD.MLB.SD.C.MAG8-T,Su13.BD.MM110.SN.C.MAG8-A,Su13.BD.MM110.SN.C.MAG8-C,Su13.BD.MM110.SN.C.MAG8-G,Su13.BD.MM110.SN.C.MAG8-T
contig_20881_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_20881_1,1,122,0,0,0,87,0,0,0,48,0,0,0,140,0,0,0,167,0,0,0,226,0,0,0,265,0,0,0,38,0,0,0,185,0,0,0,141,0,0,0,110,0,0,0,16,0,0,0,98,0,0,0,103,0,0,0,191,0,0,0,48,0,0,0,126,0,0,0,84,0,0,0,135,0,0,0,49,0,0,0,1,0,0,0,154,0,0,0,52,0,0,0,119,0,0,0
contig_20881_1,2,0,0,0,122,0,0,0,91,0,0,0,49,0,0,0,140,0,0,0,167,0,0,0,228,0,0,0,267,0,0,0,38,0,0,0,185,0,0,0,141,0,0,0,113,0,0,0,16,0,0,0,98,0,0,0,103,0,0,0,196,0,0,0,48,0,0,0,126,0,0,0,85,0,0,0,141,0,0,0,52,0,0,0,1,0,0,0,155,0,0,0,53,0,0,0,122
contig_20881_1,3,0,124,0,0,0,92,0,1,0,49,0,0,0,140,0,0,0,169,0,0,0,229,0,0,0,268,0,0,0,38,0,0,0,186,0,0,0,142,0,0,0,115,0,0,0,16,0,0,0,100,0,0,0,110,0,0,0,196,0,0,0,49,0,0,0,125,0,1,0,89,0,0,0,144,0,0,0,52,0,1,0,1,0,0,0,156,0,0,0,55,0,0,0,123,0,0
contig_20881_1,4,128,0,0,0,107,0,0,0,49,0,0,0,141,0,0,0,178,0,0,0,235,0,0,0,284,0,0,0,40,0,0,0,192,0,0,0,144,0,0,0,115,0,0,0,17,0,0,0,106,0,0,0,111,0,0,0,203,0,0,0,53,0,0,0,127,0,0,0,94,0,0,0,144,0,0,0,62,0,0,0,1,0,0,0,156,0,0,0,57,0,0,0,125,0,0,0
contig_20881_1,5,131,0,0,0,109,0,0,0,49,0,0,0,143,0,0,0,179,0,0,0,237,0,0,0,286,0,0,0,40,0,0,0,194,0,0,0,148,0,0,0,119,0,0,0,19,0,0,0,107,0,0,0,112,0,0,0,205,0,0,0,53,0,0,0,129,0,0,0,95,0,0,0,148,0,0,0,62,0,0,0,1,0,0,0,160,0,0,0,59,0,0,0,129,0,0,0
contig_20881_1,6,0,0,131,0,2,0,108,0,0,0,51,0,0,0,143,0,0,0,182,0,3,0,237,1,1,0,287,0,1,0,40,0,1,0,194,0,0,0,151,0,1,0,119,0,0,0,19,0,1,0,106,0,2,0,111,0,3,0,202,0,1,0,53,0,0,0,130,0,0,0,95,0,0,0,148,0,0,0,63,0,0,0,1,0,0,0,163,0,1,0,58,0,2,0,127,0
contig_20881_1,7,0,131,0,0,0,113,0,0,0,51,0,0,0,143,0,0,1,184,0,0,0,247,0,0,0,290,0,0,0,43,0,0,0,196,0,0,0,152,0,0,0,119,1,0,0,19,0,0,0,107,0,0,0,114,0,0,0,205,0,0,0,54,0,0,0,130,0,0,0,97,1,0,0,147,1,0,0,65,0,0,0,1,0,0,0,164,0,0,0,59,0,0,0,132,1,0
contig_20881_1,8,131,0,0,0,114,0,0,0,51,0,0,0,143,0,0,0,186,0,0,0,247,0,0,0,292,0,0,0,43,0,0,0,201,0,0,0,152,0,0,0,120,0,0,1,20,0,0,0,107,0,0,0,114,0,0,0,206,0,0,0,54,0,0,0,128,0,1,1,99,0,0,0,148,0,0,0,66,0,0,0,1,0,0,0,163,0,0,1,59,0,0,0,134,0,0,0
contig_20881_1,9,0,0,132,0,0,0,114,0,0,0,55,0,0,0,150,0,0,0,187,0,2,0,250,0,1,0,294,0,1,0,43,0,0,0,203,0,0,0,160,0,0,0,121,1,0,0,20,0,0,0,113,0,0,0,121,0,0,0,214,0,0,0,54,0,0,0,135,0,0,0,101,0,0,0,157,0,1,0,66,0,0,0,1,0,0,0,172,0,0,0,59,0,1,0,133,0
