,Position,value
contig_19657_2,0,0.0
contig_19657_2,1,0.0
contig_19657_2,2,0.00892857142857
contig_19657_2,3,0.0
contig_19657_2,4,0.0
contig_19657_2,5,0.00892857142857
contig_19657_2,6,0.0
contig_19657_2,7,0.136363636364
contig_19657_2,8,0.0
contig_19657_2,9,0.0642201834862
contig_19657_2,10,0.00909090909091
contig_19657_2,11,0.00847457627119
contig_19657_2,12,0.0
contig_19657_2,13,0.0
contig_19657_2,14,0.0
contig_19657_2,15,0.0
contig_19657_2,16,0.0661764705882
contig_19657_2,17,0.0
contig_19657_2,18,0.0441176470588
contig_19657_2,19,0.0298507462687
contig_19657_2,20,0.0
contig_19657_2,21,0.0
contig_19657_2,22,0.0454545454545
contig_19657_2,23,0.00769230769231
contig_19657_2,24,0.00769230769231
contig_19657_2,25,0.00751879699248
contig_19657_2,26,0.0
contig_19657_2,27,0.00671140939597
contig_19657_2,28,0.079754601227
contig_19657_2,29,0.0
contig_19657_2,30,0.00621118012422
contig_19657_2,31,0.0519480519481
contig_19657_2,32,0.0810810810811
contig_19657_2,33,0.0
contig_19657_2,34,0.0
contig_19657_2,35,0.0
contig_19657_2,36,0.0
contig_19657_2,37,0.0
contig_19657_2,38,0.0
contig_19657_2,39,0.027027027027
contig_19657_2,40,0.108843537415
contig_19657_2,41,0.0
contig_19657_2,42,0.0629370629371
contig_19657_2,43,0.0928571428571
contig_19657_2,44,0.0
contig_19657_2,45,0.0
contig_19657_2,46,0.0
contig_19657_2,47,0.0
contig_19657_2,48,0.0
contig_19657_2,49,0.152
contig_19657_2,50,0.0
contig_19657_2,51,0.0
contig_19657_2,52,0.119047619048
contig_19657_2,53,0.0
contig_19657_2,54,0.00793650793651
contig_19657_2,55,0.0393700787402
contig_19657_2,56,0.0
contig_19657_2,57,0.0
contig_19657_2,58,0.0538461538462
contig_19657_2,59,0.0
contig_19657_2,60,0.0
contig_19657_2,61,0.152671755725
contig_19657_2,62,0.0
contig_19657_2,63,0.0
contig_19657_2,64,0.0078125
contig_19657_2,65,0.0
contig_19657_2,66,0.0
contig_19657_2,67,0.314516129032
contig_19657_2,68,0.0
contig_19657_2,69,0.0
contig_19657_2,70,0.0
contig_19657_2,71,0.0
contig_19657_2,72,0.0229007633588
contig_19657_2,73,0.0077519379845
contig_19657_2,74,0.0
contig_19657_2,75,0.0
contig_19657_2,76,0.0
contig_19657_2,77,0.0
contig_19657_2,78,0.146341463415
contig_19657_2,79,0.0
contig_19657_2,80,0.0
contig_19657_2,81,0.0
contig_19657_2,82,0.0
contig_19657_2,83,0.00813008130081
contig_19657_2,84,0.0
contig_19657_2,85,0.0762711864407
contig_19657_2,86,0.0
contig_19657_2,87,0.112068965517
contig_19657_2,88,0.0172413793103
contig_19657_2,89,0.00869565217391
contig_19657_2,90,0.0078125
contig_19657_2,91,0.1015625
contig_19657_2,92,0.0
contig_19657_2,93,0.0
contig_19657_2,94,0.093023255814
contig_19657_2,95,0.0
contig_19657_2,96,0.0
contig_19657_2,97,0.00763358778626
contig_19657_2,98,0.0
contig_19657_2,99,0.0
contig_19657_2,100,0.015037593985
contig_19657_2,101,0.0
contig_19657_2,102,0.0
contig_19657_2,103,0.021897810219
contig_19657_2,104,0.0
contig_19657_2,105,0.0
contig_19657_2,106,0.0
contig_19657_2,107,0.0
contig_19657_2,108,0.0
contig_19657_2,109,0.00740740740741
contig_19657_2,110,0.00740740740741
contig_19657_2,111,0.0
contig_19657_2,112,0.00751879699248
contig_19657_2,113,0.0
contig_19657_2,114,0.0
contig_19657_2,115,0.0
contig_19657_2,116,0.0
contig_19657_2,117,0.0
contig_19657_2,118,0.0
contig_19657_2,119,0.0
contig_19657_2,120,0.0
contig_19657_2,121,0.0
contig_19657_2,122,0.00970873786408
contig_19657_2,123,0.0
contig_19657_2,124,0.117647058824
contig_19657_2,125,0.0
contig_19657_2,126,0.00934579439252
contig_19657_2,127,0.00952380952381
contig_19657_2,128,0.0
contig_19657_2,129,0.0
contig_19657_2,130,0.0934579439252
contig_19657_2,131,0.0
contig_19657_2,132,0.00943396226415
contig_19657_2,133,0.0754716981132
contig_19657_2,134,0.160377358491
contig_19657_2,135,0.0
contig_19657_2,136,0.0
contig_19657_2,137,0.0
contig_19657_2,138,0.0
contig_19657_2,139,0.0
contig_19657_2,140,0.0
contig_19657_2,141,0.0
contig_19657_2,142,0.0
contig_19657_2,143,0.0
contig_19657_2,144,0.0
contig_19657_2,145,0.0754716981132
contig_19657_2,146,0.0
contig_19657_2,147,0.00943396226415
contig_19657_2,148,0.0873786407767
contig_19657_2,149,0.118811881188
contig_19657_2,150,0.00925925925926
